"rgn_id","year","value"
205,2022,1
205,2024,0.6
101,2018,0.2
101,2020,0.2
101,2022,0.4
101,2024,0.4
10,2018,0.6
10,2020,0.6
10,2022,1
10,2024,0.6
177,2018,0.8
177,2020,0.8
177,2022,1
177,2024,1
162,2018,0.6
162,2020,0.6
162,2022,0.6
162,2024,0.6
131,2018,1
131,2020,1
131,2022,0.8
131,2024,1
223,2018,0.8
223,2020,0.8
223,2022,1
223,2024,1
48,2018,1
48,2020,1
48,2022,1
48,2024,0.6
53,2018,0.4
53,2020,0.8
53,2022,0.8
53,2024,1
8,2018,0.8
8,2020,0.6
8,2022,0.4
8,2024,0.4
129,2018,1
129,2020,1
129,2022,1
129,2024,1
138,2018,1
138,2020,1
138,2022,1
138,2024,0.6
15,2018,1
15,2020,0.8
15,2022,1
15,2024,1
178,2018,0.8
178,2020,0.8
178,2022,1
178,2024,1
183,2018,0.8
183,2020,0.8
183,2022,1
183,2024,1
190,2018,1
190,2020,1
190,2022,1
190,2024,1
20,2018,0.4
20,2020,0.4
20,2022,0.4
20,2024,0.4
72,2018,0.8
72,2020,0.8
72,2022,1
72,2024,1
73,2018,0.6
73,2020,0.6
73,2022,0.8
73,2024,0.8
119,2018,0.8
119,2020,0.8
119,2022,0.8
119,2024,0.8
127,2018,1
127,2020,0.8
127,2022,0.8
127,2024,0.8
152,2018,0.8
152,2020,1
152,2022,1
152,2024,1
103,2018,1
103,2020,1
103,2022,1
103,2024,1
50,2018,1
50,2020,1
50,2022,1
50,2024,1
66,2018,1
66,2020,1
66,2022,1
66,2024,1
31,2018,0.8
31,2020,0.8
31,2022,0.8
31,2024,1
96,2018,1
96,2020,1
96,2022,1
96,2024,1
208,2018,0.8
208,2020,0.8
208,2022,0.8
208,2024,0.8
188,2018,0.8
188,2020,0.8
188,2022,1
188,2024,1
7,2018,0.8
7,2020,0.8
7,2022,1
7,2024,1
44,2018,1
44,2020,1
44,2022,1
44,2024,1
102,2018,0.8
102,2020,0.8
102,2022,0.8
102,2024,0.8
182,2018,0.8
182,2020,0.8
182,2022,1
182,2024,1
40,2018,0.8
40,2020,0.8
40,2022,0.8
40,2024,0.8
49,2018,0.8
49,2020,0.8
49,2022,0.8
49,2024,0.8
168,2018,0.8
168,2020,0.8
168,2022,1
168,2024,0.8
222,2018,0.8
222,2020,0.8
222,2022,1
222,2024,1
25,2018,1
25,2020,1
25,2022,1
25,2024,1
231,2018,1
231,2020,1
231,2022,1
231,2024,1
156,2018,0.6
156,2020,1
156,2022,1
156,2024,0.8
155,2018,0.4
