"rgn_id","year","Ap"
18,2009,0.00693743374643279
18,2010,0.00805557103089917
18,2011,0.00857347896863408
18,2012,0.00837074056216782
18,2013,0.00832354119370139
18,2014,0.00873283690300476
18,2015,0.0094971179255027
18,2016,0.00994983652565565
18,2017,0.0105830783055196
18,2018,0.0109223114581592
18,2019,0.0112301054069754
18,2020,0.00184138130773433
18,2021,0.000399300925889819
19,2008,0.0225959105049802
19,2009,0.0209888495462455
19,2010,0.0220004921997305
19,2011,0.0153120522951395
19,2012,0.013836900030234
19,2013,0.0162568424791927
19,2014,0.0175378890556618
19,2015,0.0301257625370953
19,2016,0.031453295774587
19,2017,0.0315230112436108
19,2018,0.0389554206649622
19,2019,0.0461089928170693
19,2020,0.00740080222052546
19,2021,0.00048744186468521
20,2008,0.00194387267677381
20,2009,0.00193389360024259
20,2010,0.00192428241975797
20,2011,0.00190954197894375
20,2012,0.00189952959719459
20,2013,0.0018909022363096
20,2014,0.00216885346171054
20,2015,0.001984649698807
20,2016,0.0024306752988215
20,2017,0.002075579915702
20,2018,0.00243672449082453
20,2019,0.0027645179899712
20,2020,0.0004032712689178
20,2021,0.00276558362351969
21,2008,NA
21,2009,NA
21,2010,NA
21,2011,NA
21,2012,NA
21,2013,NA
21,2014,NA
21,2015,NA
21,2016,NA
21,2017,NA
21,2018,NA
21,2019,NA
21,2020,NA
21,2021,NA
24,2008,0.00946126026097938
24,2009,0.00948193672721253
24,2010,0.0108402731739113
24,2011,0.0122770091313178
24,2012,0.0150477803094725
24,2013,0.01742504689684
24,2014,0.0183790621430716
24,2015,0.0192279379331808
24,2016,0.0199148270784117
24,2017,0.0219693510243773
24,2018,0.0240232180806357
24,2019,0.0253231936310264
24,2020,0.00494488765356406
24,2021,0.000735012313547475
25,2008,0.00215452073014563
25,2009,0.00207544185437957
25,2010,0.00232176138803341
25,2011,0.00278363715256694
25,2012,0.00321506852329093
25,2013,0.00379499342881109
25,2014,0.00352729990352545
25,2015,0.0042340472444315
25,2016,0.00458255148878365
25,2017,0.00499330906790667
25,2018,0.00533881733861104
25,2019,0.00556777245948632
25,2020,0.000932647438550822
25,2021,5.94559514488587e-05
26,2008,NA
26,2009,NA
26,2010,NA
26,2011,NA
26,2012,NA
26,2013,NA
26,2014,NA
26,2015,NA
26,2016,NA
26,2017,NA
26,2018,NA
26,2019,NA
26,2020,NA
26,2021,NA
28,2008,0.00273824864919388
28,2009,0.00204831264776964
28,2010,0.00271617599348742
28,2011,0.00326755743668388
28,2012,0.00387894813272943
28,2013,0.00364677557276953
28,2014,0.00371578644229922
28,2015,0.00376397614061313
28,2016,0.0041826076649788
28,2017,0.00428135071847546
28,2018,0.00538572027646638
28,2019,0.00664039553097671
28,2020,0.00101125286654265
28,2021,0.00408230121287269
29,2008,NA
29,2009,NA
29,2010,NA
29,2011,NA
29,2012,NA
29,2013,NA
29,2014,NA
29,2015,NA
29,2016,NA
29,2017,NA
29,2018,NA
29,2019,NA
29,2020,NA
29,2021,NA
30,2008,NA
30,2009,NA
30,2010,NA
30,2011,NA
30,2012,NA
30,2013,NA
30,2014,NA
30,2015,NA
30,2016,NA
30,2017,NA
30,2018,NA
30,2019,NA
30,2020,NA
30,2021,NA
31,2008,0.0871690560935256
31,2009,0.0862814759553189
31,2010,0.0929333507987924
31,2011,0.105767292481904
31,2012,0.112292990883738
31,2013,0.12189791277138
31,2014,0.121582020567611
31,2015,0.14084409410342
31,2016,0.152567810318445
31,2017,0.17408943587341
31,2018,0.178348108214686
31,2019,0.187514540629301
31,2020,0.0556309079905375
31,2021,0.087892201444489
32,2008,0.105923692825938
32,2009,0.111711170928657
32,2010,0.11030391519924
32,2011,0.122802476734079
32,2012,0.115832822452443
32,2013,0.107234585458708
32,2014,0.103753608011477
32,2015,0.10795547180466
32,2016,0.115547875577669
32,2017,0.127321776282664
32,2018,0.132885882684018
32,2019,0.131388688859638
32,2020,0.0528899109307262
32,2021,0.0607350174792962
33,2008,NA
33,2009,NA
33,2010,NA
33,2011,NA
33,2012,NA
33,2013,NA
33,2014,NA
33,2015,NA
33,2016,NA
33,2017,NA
33,2018,NA
33,2019,NA
33,2020,NA
33,2021,NA
34,2008,NA
34,2009,NA
34,2010,NA
34,2011,NA
34,2012,NA
34,2013,NA
34,2014,NA
34,2015,NA
34,2016,NA
34,2017,NA
34,2018,NA
34,2019,NA
34,2020,NA
34,2021,NA
35,2008,NA
35,2009,NA
35,2010,NA
35,2011,NA
35,2012,NA
35,2013,NA
35,2014,NA
35,2015,NA
35,2016,NA
35,2017,NA
35,2018,NA
35,2019,NA
35,2020,NA
35,2021,NA
36,2008,NA
36,2009,NA
36,2010,NA
36,2011,NA
36,2012,NA
36,2013,NA
36,2014,NA
36,2015,NA
36,2016,NA
36,2017,NA
36,2018,NA
36,2019,NA
36,2020,NA
36,2021,NA
37,2008,0.0652860945517708
37,2009,0.060982142806726
37,2010,0.0653074922770983
37,2011,0.0672950668984799
37,2012,0.0671087020627127
37,2013,0.0688888702388526
37,2014,0.0718804849589823
37,2015,0.0796001605948729
37,2016,0.0881151143205128
37,2017,0.0926618888195557
37,2018,0.0965449368489768
37,2019,0.095410018927167
37,2020,0.0213167176607788
37,2021,0.0124005738136251
38,2008,NA
38,2009,NA
38,2010,NA
38,2011,NA
38,2012,NA
38,2013,NA
38,2014,NA
38,2015,NA
38,2016,NA
38,2017,NA
38,2018,NA
38,2019,NA
38,2020,NA
38,2021,NA
39,2008,0.0246433106016312
39,2009,0.0228449291376083
39,2010,0.026624669766551
39,2011,0.0302221173445702
39,2012,0.0300474442378878
39,2013,0.034124026979848
39,2014,0.0351464436557038
39,2015,0.0344352054240347
39,2016,0.0344113383280833
39,2017,0.0357621601733159
39,2018,0.0368306857691322
39,2019,0.0410302377785664
39,2020,0.0131134626937222
39,2021,0.0308155835608364
40,2008,0.000627714188826215
40,2009,0.000635875586764174
40,2010,0.000919907595328795
40,2011,0.00119300269426787
40,2012,0.00139155646119181
40,2013,0.00175408732596227
40,2014,0.00209012490798865
40,2015,0.00244984783760823
40,2016,0.00278298861412943
40,2017,0.00286087120908975
40,2018,0.00313125584317634
40,2019,0.00255212705744255
40,2020,0.000673782285776347
40,2021,0.000254558138643836
41,2008,0.000693097502094099
41,2009,0.000826436138722956
41,2010,0.000944980345239577
41,2011,0.00101595312832587
41,2012,0.00109514183665591
41,2013,0.000947911571589645
41,2014,0.000809594517559232
41,2015,0.000733793695773635
41,2016,0.000751054518513653
41,2017,0.000642812153096879
41,2018,0.00118315920584483
41,2019,0.000846091825932318
41,2020,0.000387527616597504
41,2021,0.000194664910575669
42,2008,0.000148593639900612
42,2009,6.27428594667061e-05
42,2010,7.33138649965191e-05
42,2011,8.18373579479318e-05
42,2012,9.06068185621003e-05
42,2013,6.7542078824082e-05
42,2014,7.45181066821326e-05
42,2015,7.98101836166721e-05
42,2016,9.33910372245905e-05
42,2017,7.9205414949664e-05
42,2018,8.81080250177604e-05
42,2019,0.0001133669313163
42,2020,1.96695690440373e-05
42,2021,0.000107946616702741
43,2008,0.00205048653496136
43,2009,0.00242857987123465
43,2010,0.00249341253850263
43,2011,0.00289056303849203
43,2012,0.00260748101901659
43,2013,0.00225453644078988
43,2014,0.00193758028145167
43,2015,0.00167445674328361
43,2016,0.00186442191368149
43,2017,0.00196241264646667
43,2018,0.00192292471924946
43,2019,0.00188525435625057
43,2020,0.0018477445768782
43,2021,0.00181219376252831
44,2008,NA
44,2009,NA
44,2010,NA
44,2011,NA
44,2012,NA
44,2013,NA
44,2014,NA
44,2015,NA
44,2016,NA
44,2017,NA
44,2018,NA
44,2019,NA
44,2020,NA
44,2021,NA
45,2008,NA
45,2009,NA
45,2010,NA
45,2011,NA
45,2012,NA
45,2013,NA
45,2014,NA
45,2015,NA
45,2016,NA
45,2017,NA
45,2018,NA
45,2019,NA
45,2020,NA
45,2021,NA
46,2008,0.00862447926274649
46,2009,0.00907605900573897
46,2010,0.00782355942343258
46,2011,0.00842907267133798
46,2012,0.00886566760472683
46,2013,0.00914173045835454
46,2014,0.00898151931841931
46,2015,0.00882824799390356
46,2016,0.00868156218022323
46,2017,0.00853991749742356
46,2018,0.00840287628059966
46,2019,0.00827146520194471
46,2020,0.00814883741234961
46,2021,0.00803531975112762
47,2008,0.000632236922804474
47,2009,0.000616804013465598
47,2010,0.000597248854143291
47,2011,0.000469170133367669
47,2012,0.000480532760465742
47,2013,0.000528967821116926
47,2014,0.000528591462168619
47,2015,0.000185402003425706
47,2016,0.000180604775998147
47,2017,0.000176032366557525
47,2018,0.000171709531886634
47,2019,0.000167593633632742
47,2020,0.000163765860505195
47,2021,0.000160302047244384
48,2008,0.0105479205838498
48,2009,0.0114834512905208
48,2010,0.0101834185201239
48,2011,0.00646512687232789
48,2012,0.00714861428462533
48,2013,0.00742786693303987
48,2014,0.00818353962946597
48,2015,0.0092750976452017
48,2016,0.0108127304437203
48,2017,0.0103852274921608
48,2018,0.0101849803401388
48,2019,0.0110619464667324
48,2020,0.00278996872331792
48,2021,0.0112633336691662
49,2008,0.000503596451076394
49,2009,0.000467824199151523
49,2010,0.000538425321319487
49,2011,0.000571509114168614
49,2012,0.000600186248066519
49,2013,0.000602645102984661
49,2014,0.000678392102333209
49,2015,0.000712438101842858
49,2016,0.000745607023312477
49,2017,0.000733459149292286
49,2018,0.000730518485758637
49,2019,0.000709683174117146
49,2020,0.000690385991367594
49,2021,0.000671987937061226
50,2008,0.00411072415405093
50,2009,0.00292396074181263
50,2010,0.00281947791851647
50,2011,0.00359424057360903
50,2012,0.00404992949701333
50,2013,0.00382895314881933
50,2014,0.00434422670168256
50,2015,0.00419933861824223
50,2016,0.00412702705070911
50,2017,0.00360074440113819
50,2018,0.00334676284922079
50,2019,0.00373878458888866
50,2020,0.000878588178994804
50,2021,0.00372598924657562
51,2008,0.0108719548408649
51,2009,0.011822118840622
51,2010,0.00782588907348598
51,2011,0.00952138338141763
51,2012,0.00983401176603929
51,2013,0.00936841561941889
51,2014,0.00585734171648626
51,2015,0.00518131990330426
51,2016,0.00558023579412559
51,2017,0.00493677551988612
51,2018,0.00515508074261944
51,2019,0.0038336019231061
51,2020,0.00219469348075677
51,2021,0.00400587125444318
52,2008,0.77975472670392
52,2009,0.734065030579947
52,2010,0.713384228924117
52,2011,0.714307096424246
52,2012,0.706806789981061
52,2013,0.6862278914684
52,2014,0.660340745120339
52,2015,0.510551174640865
52,2016,0.496576575374296
52,2017,0.526620094590741
52,2018,0.514993196297801
52,2019,0.451929493499233
52,2020,0.0982008281235238
52,2021,0.261613276155336
53,2008,0.000165068982099676
53,2009,0.000167706780910042
53,2010,0.000173943805560418
53,2011,0.000218005104207186
53,2012,0.000178157069573221
53,2013,0.000175439911214539
53,2014,0.000172984979720254
53,2015,0.000170756617137201
53,2016,0.000168712940594125
53,2017,0.000166487018598352
53,2018,0.000163947395294645
53,2019,0.000161332233761311
53,2020,0.00015856038906073
53,2021,0.000155678798938084
54,2008,0.0282103536456252
54,2009,0.0246668405808987
54,2010,0.0232443525494707
54,2011,0.0229910859702918
54,2012,0.0227529117955155
54,2013,0.0225270477612184
54,2014,0.0508249445777684
54,2015,0.0522562203115228
54,2016,0.0558086730512593
