"rgn_id","habitat","health","year"
13,"saltmarsh",0.75,2021
14,"saltmarsh",0.75,2021
16,"saltmarsh",0.75,2021
42,"saltmarsh",0.75,2021
54,"saltmarsh",0.75,2021
59,"saltmarsh",0.75,2021
69,"saltmarsh",0.75,2021
70,"saltmarsh",0.75,2021
71,"saltmarsh",0.75,2021
72,"saltmarsh",0.75,2021
73,"saltmarsh",0.75,2021
76,"saltmarsh",0.75,2021
81,"saltmarsh",0.75,2021
82,"saltmarsh",0.75,2021
102,"saltmarsh",0.75,2021
116,"saltmarsh",0.75,2021
135,"saltmarsh",0.75,2021
137,"saltmarsh",0.75,2021
138,"saltmarsh",0.75,2021
143,"saltmarsh",0.75,2021
151,"saltmarsh",0.75,2021
162,"saltmarsh",0.75,2021
163,"saltmarsh",0.75,2021
171,"saltmarsh",0.75,2021
172,"saltmarsh",0.75,2021
173,"saltmarsh",0.75,2021
174,"saltmarsh",0.75,2021
175,"saltmarsh",0.75,2021
176,"saltmarsh",0.75,2021
177,"saltmarsh",0.75,2021
179,"saltmarsh",0.75,2021
180,"saltmarsh",0.75,2021
181,"saltmarsh",0.75,2021
182,"saltmarsh",0.75,2021
183,"saltmarsh",0.75,2021
184,"saltmarsh",0.75,2021
186,"saltmarsh",0.75,2021
187,"saltmarsh",0.75,2021
188,"saltmarsh",0.75,2021
207,"saltmarsh",0.75,2021
209,"saltmarsh",0.75,2021
218,"saltmarsh",0.75,2021
222,"saltmarsh",0.75,2021
224,"saltmarsh",0.75,2021
5,"saltmarsh",0.75,2021
6,"saltmarsh",0.75,2021
15,"saltmarsh",0.75,2021
18,"saltmarsh",0.75,2021
20,"saltmarsh",0.75,2021
21,"saltmarsh",0.75,2021
40,"saltmarsh",0.75,2021
43,"saltmarsh",0.75,2021
44,"saltmarsh",0.75,2021
46,"saltmarsh",0.75,2021
47,"saltmarsh",0.75,2021
48,"saltmarsh",0.75,2021
49,"saltmarsh",0.75,2021
50,"saltmarsh",0.75,2021
51,"saltmarsh",0.75,2021
52,"saltmarsh",0.75,2021
53,"saltmarsh",0.75,2021
58,"saltmarsh",0.75,2021
61,"saltmarsh",0.75,2021
62,"saltmarsh",0.75,2021
63,"saltmarsh",0.75,2021
64,"saltmarsh",0.75,2021
65,"saltmarsh",0.75,2021
67,"saltmarsh",0.75,2021
68,"saltmarsh",0.75,2021
74,"saltmarsh",0.75,2021
75,"saltmarsh",0.75,2021
80,"saltmarsh",0.75,2021
84,"saltmarsh",0.75,2021
101,"saltmarsh",0.75,2021
106,"saltmarsh",0.75,2021
110,"saltmarsh",0.75,2021
112,"saltmarsh",0.75,2021
120,"saltmarsh",0.75,2021
129,"saltmarsh",0.75,2021
130,"saltmarsh",0.75,2021
131,"saltmarsh",0.75,2021
139,"saltmarsh",0.75,2021
145,"saltmarsh",0.75,2021
153,"saltmarsh",0.75,2021
155,"saltmarsh",0.75,2021
168,"saltmarsh",0.75,2021
178,"saltmarsh",0.75,2021
189,"saltmarsh",0.75,2021
190,"saltmarsh",0.75,2021
191,"saltmarsh",0.75,2021
200,"saltmarsh",0.75,2021
202,"saltmarsh",0.75,2021
203,"saltmarsh",0.75,2021
210,"saltmarsh",0.75,2021
214,"saltmarsh",0.75,2021
223,"saltmarsh",0.75,2021
