"region_id","old_score","score","dimension"
1,NA,NA,NA
2,NA,NA,NA
3,NA,NA,NA
4,NA,NA,NA
5,-0.01,-0.03,"trend"
6,0,1,"trend"
7,0,0,"trend"
8,-0.02,-0.65,"trend"
9,0,0,"trend"
10,0,0.08,"trend"
11,NA,NA,NA
12,NA,NA,NA
13,0,-0.18,"trend"
14,0.03,0.1,"trend"
15,0,0.03,"trend"
16,-0.03,-0.2,"trend"
17,0,-0.36,"trend"
18,0,-1,"trend"
19,0,-0.07,"trend"
20,-0.09,-0.15,"trend"
21,0,-0.03,"trend"
24,0.07,0.64,"trend"
25,-0.34,-0.34,"trend"
26,NA,NA,NA
28,NA,NA,NA
29,0,0.43,"trend"
30,NA,NA,NA
31,0,0,"trend"
32,0,-0.91,"trend"
33,NA,NA,NA
34,NA,NA,NA
35,NA,NA,NA
36,NA,NA,NA
37,0,0.23,"trend"
38,NA,NA,NA
39,NA,NA,NA
40,0,0.3,"trend"
41,0,-0.88,"trend"
42,0,0.02,"trend"
43,0,0,"trend"
44,NA,NA,NA
45,0,0,"trend"
46,NA,NA,NA
47,0,-1,"trend"
48,0,1,"trend"
49,NA,NA,NA
50,-0.15,-1,"trend"
51,0,-0.84,"trend"
52,0,0.38,"trend"
53,0,0,"trend"
54,0.01,1,"trend"
55,NA,NA,NA
56,NA,NA,NA
57,NA,NA,NA
58,NA,NA,NA
59,NA,NA,NA
60,NA,NA,NA
61,0.02,0.72,"trend"
62,0,0.3,"trend"
63,NA,NA,NA
64,NA,NA,NA
65,0,-0.14,"trend"
66,0,1,"trend"
67,0,0,"trend"
68,0.16,0.82,"trend"
69,NA,NA,NA
70,0,0,"trend"
71,0.13,1,"trend"
72,0,0.3,"trend"
73,0.08,1,"trend"
74,NA,NA,NA
75,0.01,1,"trend"
76,0.03,0.25,"trend"
77,NA,NA,NA
78,0,-0.43,"trend"
79,0,0.3,"trend"
80,-0.02,-0.08,"trend"
81,0.03,0.27,"trend"
82,0,-0.09,"trend"
84,0,1,"trend"
85,NA,NA,NA
86,NA,NA,NA
88,NA,NA,NA
89,NA,NA,NA
90,NA,NA,NA
91,NA,NA,NA
92,NA,NA,NA
93,NA,NA,NA
94,NA,NA,NA
95,0,0,"trend"
96,NA,NA,NA
97,NA,NA,NA
98,NA,NA,NA
99,NA,NA,NA
100,NA,NA,NA
101,0.03,0.18,"trend"
102,0,0.24,"trend"
103,NA,NA,NA
104,NA,NA,NA
105,NA,NA,NA
106,NA,NA,NA
107,NA,NA,NA
108,NA,NA,NA
110,0,-1,"trend"
111,0,-0.3,"trend"
112,0,0.18,"trend"
113,NA,NA,NA
114,NA,NA,NA
115,0,-0.29,"trend"
116,0,-1,"trend"
117,NA,NA,NA
118,NA,NA,NA
119,NA,NA,NA
120,NA,NA,NA
121,NA,NA,NA
122,NA,NA,NA
123,NA,NA,NA
124,NA,NA,NA
125,NA,NA,NA
126,NA,NA,NA
127,NA,NA,NA
129,0.03,0.48,"trend"
130,0.03,0.52,"trend"
131,0.1,0.53,"trend"
132,-0.04,-0.84,"trend"
133,0.24,1,"trend"
134,0,0.18,"trend"
135,-0.01,-0.07,"trend"
136,-0.14,-0.48,"trend"
137,0,0,"trend"
138,0.09,0.49,"trend"
139,0.02,0.4,"trend"
140,0,0.01,"trend"
141,0,0,"trend"
143,0.31,0.44,"trend"
144,NA,NA,NA
145,NA,NA,NA
146,NA,NA,NA
147,-0.05,-0.11,"trend"
148,NA,NA,NA
149,NA,NA,NA
150,NA,NA,NA
151,NA,NA,NA
152,0,0,"trend"
153,0,0,"trend"
154,NA,NA,NA
155,0,-0.25,"trend"
156,NA,NA,NA
157,NA,NA,NA
158,NA,NA,NA
159,NA,NA,NA
161,NA,NA,NA
162,0,0,"trend"
163,0,-0.03,"trend"
164,0.22,0.29,"trend"
166,0,-0.94,"trend"
167,0,0.32,"trend"
168,0,0.13,"trend"
169,NA,NA,NA
171,0,-0.01,"trend"
172,0,-1,"trend"
173,0,0,"trend"
174,0.04,0.25,"trend"
175,0.04,0.47,"trend"
176,-0.06,-0.63,"trend"
177,0.06,0.21,"trend"
178,NA,NA,NA
179,-0.07,-0.11,"trend"
180,-0.01,-0.04,"trend"
181,-0.26,-0.38,"trend"
182,-0.01,-0.02,"trend"
183,0.02,0.34,"trend"
184,0.01,0.05,"trend"
185,NA,NA,NA
186,-0.01,-0.12,"trend"
187,0.03,0.16,"trend"
188,0.03,0.44,"trend"
189,NA,NA,NA
190,0,0,"trend"
191,0.11,1,"trend"
192,NA,NA,NA
193,NA,NA,NA
194,NA,NA,NA
195,NA,NA,NA
196,0,0,"trend"
197,NA,NA,NA
198,NA,NA,NA
199,NA,NA,NA
200,NA,NA,NA
202,0,0.7,"trend"
203,0.05,1,"trend"
204,0.03,0.22,"trend"
205,-0.02,-0.27,"trend"
206,-0.1,-0.36,"trend"
207,0.08,0.24,"trend"
208,0.01,0.29,"trend"
209,0,0,"trend"
210,-0.02,-0.06,"trend"
212,0,-0.36,"trend"
213,NA,NA,NA
214,-0.04,-0.14,"trend"
215,NA,NA,NA
216,0.06,0.42,"trend"
218,-0.06,-0.07,"trend"
219,0.01,0.62,"trend"
220,NA,NA,NA
221,NA,NA,NA
222,0,0.06,"trend"
223,0,0,"trend"
224,0,0,"trend"
227,NA,NA,NA
228,NA,NA,NA
231,0,0.12,"trend"
232,0,-0.23,"trend"
237,NA,NA,NA
244,0,0,"trend"
245,0,0,"trend"
247,0.01,0.16,"trend"
248,NA,NA,NA
249,NA,NA,NA
250,0,0,"trend"
