"rgn_id","old_score","score","dimension"
1,-0.18,-0.21,"trend"
2,-0.18,-0.21,"trend"
3,-0.18,-0.21,"trend"
4,NA,-0.21,"trend"
5,-0.11,-0.11,"trend"
6,0,0,"trend"
7,-0.16,-0.42,"trend"
8,-0.31,-0.32,"trend"
9,-0.3,-0.32,"trend"
10,-0.3,-0.32,"trend"
11,-0.3,-0.32,"trend"
12,-0.3,-0.32,"trend"
13,-0.31,-0.31,"trend"
14,-0.01,-0.04,"trend"
15,-0.02,-0.1,"trend"
16,-0.11,-0.18,"trend"
17,-0.08,-0.69,"trend"
18,0,0,"trend"
19,0.23,0.43,"trend"
20,-0.03,-0.11,"trend"
21,0,0,"trend"
24,0.06,0.09,"trend"
25,0.03,0.05,"trend"
26,0.01,0.02,"trend"
28,-0.13,-0.36,"trend"
29,-0.11,-0.18,"trend"
30,-0.11,-0.18,"trend"
31,0,0,"trend"
32,-0.02,-0.05,"trend"
33,-0.11,-0.18,"trend"
34,NA,-0.18,"trend"
35,NA,-0.18,"trend"
36,NA,-0.18,"trend"
37,-0.05,-0.05,"trend"
38,-0.16,-0.24,"trend"
39,0,0,"trend"
40,0.07,0.26,"trend"
41,-0.02,-0.12,"trend"
42,0.08,0.48,"trend"
43,-0.2,-0.73,"trend"
44,0,0,"trend"
45,-0.08,-0.18,"trend"
46,0.05,0.11,"trend"
47,0,0,"trend"
48,0.02,0.1,"trend"
49,0.02,0.44,"trend"
50,-0.19,-0.37,"trend"
51,-0.03,-0.16,"trend"
52,-0.31,-0.49,"trend"
53,-0.01,-0.25,"trend"
54,-0.1,-0.14,"trend"
55,0.01,0.01,"trend"
56,0,0,"trend"
57,0.01,0.01,"trend"
58,0.01,0.01,"trend"
59,-0.04,-0.13,"trend"
60,0.01,0.01,"trend"
61,-0.41,-0.61,"trend"
62,-0.24,-0.31,"trend"
63,-0.1,-0.25,"trend"
64,-0.01,-0.06,"trend"
65,-0.02,-0.04,"trend"
66,0.01,0.03,"trend"
