"rgn_id","old_score","score","dimension"
1,NA,NA,NA
2,NA,NA,NA
3,NA,NA,NA
4,NA,NA,NA
5,0.12,0.13,"trend"
6,0.47,1,"trend"
7,0.43,1,"trend"
8,-0.39,-1,"trend"
9,0.14,0.57,"trend"
10,NA,NA,NA
11,-0.19,-0.21,"trend"
12,NA,NA,NA
13,NA,NA,NA
14,-0.13,-0.23,"trend"
15,0.4,0.72,"trend"
16,-0.2,-0.29,"trend"
17,-0.33,-0.84,"trend"
18,-0.04,-0.09,"trend"
19,NA,NA,NA
20,0.36,0.54,"trend"
21,-0.72,-1,"trend"
24,0.04,0.45,"trend"
25,0.07,0.1,"trend"
26,NA,NA,NA
28,NA,NA,NA
29,-1,-1,"trend"
30,NA,NA,NA
31,NA,NA,NA
32,NA,NA,NA
33,NA,NA,NA
34,NA,NA,NA
35,NA,NA,NA
36,NA,NA,NA
37,-0.06,-0.19,"trend"
38,NA,NA,NA
39,0.25,0.58,"trend"
40,0.06,0.16,"trend"
41,0.86,1,"trend"
42,-0.06,-0.06,"trend"
43,-0.11,-0.18,"trend"
44,-0.86,-1,"trend"
45,-1,-1,"trend"
46,NA,NA,NA
47,0.15,0.24,"trend"
48,0.12,0.87,"trend"
49,-0.21,-0.51,"trend"
50,-0.74,-1,"trend"
51,NA,NA,NA
52,NA,NA,NA
53,-0.5,-0.8,"trend"
54,-0.32,-0.52,"trend"
55,NA,NA,NA
56,NA,NA,NA
57,NA,NA,NA
58,NA,NA,NA
59,-0.31,-0.41,"trend"
60,NA,NA,NA
61,0.07,0.09,"trend"
62,-0.14,-0.28,"trend"
63,NA,NA,NA
64,NA,NA,NA
65,NA,NA,NA
66,0.07,1,"trend"
67,0.02,1,"trend"
68,NA,NA,NA
69,1,1,"trend"
70,-1,-1,"trend"
71,0.28,0.74,"trend"
72,0.14,0.35,"trend"
73,0.02,0.07,"trend"
74,NA,NA,NA
75,-0.83,-0.9,"trend"
76,-0.3,-0.66,"trend"
77,-0.25,-0.39,"trend"
78,-0.04,-0.11,"trend"
79,-0.08,-0.13,"trend"
80,-0.27,-0.47,"trend"
81,0,0,"trend"
82,0,-0.05,"trend"
84,-0.12,-1,"trend"
85,NA,NA,NA
86,NA,NA,NA
88,NA,NA,NA
89,NA,NA,NA
90,NA,NA,NA
91,NA,NA,NA
92,NA,NA,NA
93,NA,NA,NA
94,NA,NA,NA
95,NA,NA,NA
96,NA,NA,NA
97,NA,NA,NA
98,NA,NA,NA
99,NA,NA,NA
100,-0.74,-1,"trend"
101,-0.05,-0.68,"trend"
102,-0.08,-0.3,"trend"
103,-0.96,-1,"trend"
104,-1,-1,"trend"
105,NA,NA,NA
106,-0.13,-0.95,"trend"
107,NA,NA,NA
108,NA,NA,NA
110,-0.28,-0.39,"trend"
111,0.27,1,"trend"
112,-0.63,-1,"trend"
113,NA,NA,NA
114,-0.1,-0.18,"trend"
115,-0.21,-0.25,"trend"
116,NA,NA,NA
117,NA,NA,NA
118,NA,NA,NA
119,NA,NA,NA
120,NA,NA,NA
121,NA,NA,NA
122,-0.06,-1,"trend"
123,-0.03,-1,"trend"
124,-0.04,-0.78,"trend"
125,NA,NA,NA
126,-0.02,-0.02,"trend"
127,0,0,"trend"
129,-0.17,-0.52,"trend"
130,-0.99,-1,"trend"
131,-0.28,-0.76,"trend"
132,-0.12,-0.23,"trend"
133,0,0,"trend"
134,-0.54,-1,"trend"
135,-0.07,-0.19,"trend"
136,-0.44,-1,"trend"
137,-0.03,-0.03,"trend"
138,-0.01,-0.01,"trend"
139,0.05,1,"trend"
140,NA,NA,NA
141,-0.61,-1,"trend"
143,-0.63,-0.99,"trend"
144,NA,NA,NA
145,-0.1,-1,"trend"
146,NA,NA,NA
147,-0.06,-0.06,"trend"
148,NA,NA,NA
149,NA,NA,NA
150,NA,NA,NA
151,NA,NA,NA
152,0.48,1,"trend"
153,-0.34,-0.42,"trend"
154,NA,NA,NA
155,0.15,0.46,"trend"
156,NA,NA,NA
157,NA,NA,NA
158,NA,NA,NA
159,NA,NA,NA
161,NA,NA,NA
162,-0.15,-0.32,"trend"
163,-0.33,-0.45,"trend"
164,-0.15,-0.24,"trend"
166,-0.08,-0.94,"trend"
167,NA,NA,NA
168,0,0,"trend"
169,NA,NA,NA
171,-0.13,-0.81,"trend"
172,-0.26,-0.6,"trend"
173,NA,NA,NA
174,-0.52,-0.57,"trend"
175,0,0,"trend"
176,0,0,"trend"
177,-0.19,-0.21,"trend"
178,0.67,1,"trend"
179,-0.6,-0.7,"trend"
180,-0.08,-0.09,"trend"
181,-0.04,-0.05,"trend"
182,-0.02,-0.03,"trend"
183,-0.35,-0.68,"trend"
184,0.24,0.33,"trend"
185,NA,NA,NA
186,0,0,"trend"
187,-0.22,-0.23,"trend"
188,0.31,0.51,"trend"
189,0.22,0.3,"trend"
190,NA,NA,NA
191,0.18,0.23,"trend"
192,NA,NA,NA
193,NA,NA,NA
194,NA,NA,NA
195,NA,NA,NA
196,-0.03,-0.15,"trend"
197,NA,NA,NA
198,NA,NA,NA
199,NA,NA,NA
200,NA,NA,NA
202,-0.04,-0.06,"trend"
203,0.09,0.1,"trend"
204,0.3,0.48,"trend"
205,0.59,1,"trend"
206,-0.12,-0.26,"trend"
207,0,0.02,"trend"
208,0.04,1,"trend"
209,-0.14,-0.21,"trend"
210,-0.18,-0.31,"trend"
212,-0.65,-0.98,"trend"
213,NA,NA,NA
214,0.24,0.59,"trend"
215,NA,NA,NA
216,-0.04,-0.04,"trend"
218,-0.11,-0.13,"trend"
219,NA,NA,NA
220,-1,-1,"trend"
221,NA,NA,NA
222,-0.12,-0.47,"trend"
223,-0.61,-1,"trend"
224,0.02,1,"trend"
227,NA,NA,NA
228,NA,NA,NA
231,NA,NA,NA
232,NA,NA,NA
237,NA,NA,NA
244,NA,NA,NA
245,-1,-1,"trend"
247,-0.32,-1,"trend"
248,-1,-1,"trend"
249,-1,-1,"trend"
250,NA,NA,NA
