"region_id","region_name","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
149,"Jarvis Island",90.84,93.506,93.5,95.506,97.514,NA,NA,97.85,NA,NA,NA,88.626,88.626,NA,57.412,78.706,100,NA,NA
158,"Howland Island and Baker Island",90.59,86.106,93.098,96.06,99.018,100,NA,96.518,NA,NA,NA,86.29,86.29,NA,57.132,78.566,100,NA,NA
150,"Palmyra Atoll",86.138,93.506,93.216,93.346,93.474,77.532,NA,90.306,NA,NA,NA,83.582,83.582,NA,57.11,78.554,100,NA,NA
176,"Germany",85.228,96.948,94.494,93.15,91.802,93.916,100,51.116,100,91.194,82.386,41.192,39.352,7.382,91.57,95.784,100,95.78,95.042
89,"South Georgia and the South Sandwich Islands",84.706,90.186,95.21,94.314,93.42,NA,NA,98.89,NA,NA,NA,66.084,66.084,NA,68.098,74.05,80,NA,NA
221,"Northern Saint-Martin",83.712,88.274,97.97,97.31,96.65,95.26,100,53.012,85.336,90.908,96.484,41.14,41.14,NA,77.038,87.82,98.604,NA,99.69
2,"Christmas Island",83.596,96.582,97.28,96.966,96.652,93.12,92.76,81.318,99.942,95.944,91.94,69.426,69.426,NA,58.602,58.056,57.512,NA,68.202
31,"Seychelles",83.576,76.35,90.702,94.148,97.6,86.718,100,76.036,67.662,83.832,100,73.246,73.246,0,64.038,61.844,59.646,NA,100
4,"Macquarie Island",82.81,96.582,95.23,97.62,100,NA,NA,98.104,NA,NA,NA,34.414,34.414,NA,74.686,87.342,100,NA,NA
91,"Crozet Islands",82.222,89.81,92.816,92.816,NA,NA,NA,96.558,NA,NA,NA,56.416,56.416,NA,51.02,75.51,100,NA,NA
94,"Heard and McDonald Islands",82.166,90.55,95.78,97.89,100,NA,NA,99.71,NA,NA,NA,50.298,50.298,NA,44.734,72.368,100,NA,NA
3,"Norfolk Island",82.082,96.582,96.68,98.34,100,NA,NA,77.748,99.942,95.944,91.94,39.798,39.798,NA,88.164,86.816,85.466,NA,79.362
1,"Cocos Islands",81.742,96.582,97.42,97.5,97.59,97.62,92.76,88.564,99.942,95.944,91.94,60.1,60.1,NA,75.02,37.512,0,NA,69.118
250,"Aruba",81.442,92.97,97.93,97.94,97.95,99.99,99.95,60.502,100,100,100,38.954,38.954,0,85.34,42.67,0,NA,100
16,"Australia",81.348,97.912,95,94.74,94.48,89.4,92.92,83.212,100,95.166,90.326,53.424,44.456,13.618,84.742,92.372,100,63.626,59.684
120,"Antigua and Barbuda",81.022,80.508,97.71,93.59,89.468,82.034,99.94,63.288,90.224,95.11,100,36.308,36.308,NA,77.596,78.416,79.236,NA,100
5,"New Caledonia",80.942,64.834,91.84,89.6,87.358,76.034,77.854,87.594,91.84,95.918,100,68.238,62.626,16.882,67.894,69.944,71.996,97.948,87.086
157,"Phoenix Islands (Kiribati)",80.314,59.276,90.884,87.778,84.674,100,NA,96.836,66.394,72.81,79.222,91.546,91.546,NA,61.436,80.722,100,NA,53.538
