"rgn_id","species","species_code","sust_coeff","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
5,"Blue shrimp",597,0.372222222,2118.66666666667,2158.5,2193,2149.25,2004.25,1723.75,1647.75,1549.5,1446,1591
5,"Pacific cupped oyster",598,0.757142857,74.3333333333333,77.5,80,79.5,73.5,67.75,53.25,41.5,35.3333333333333,21
6,"Blue shrimp",1021,0.372222222,0,5.5,10,15,15,9.5,5,0,0,0
6,"Whiteleg shrimp",1022,0.374509804,,,,,,25,19.5,18.6666666666667,18.6666666666667,15.5
7,"Giant tiger prawn",787,0.366666667,0,0,0.25,0.5,0.5,0.5,0.25,0,0,0
8,"Bear paw clam",630,0.811764706,0.333333333333333,0.25,0.5,0.5,0.5,0.5,0,0,0,0
8,"Crocus giant clam",631,0.811764706,1.5,1.66666666666667,1.25,1,0.5,0,0,0,0,0
8,"Elongate giant clam",632,0.811764706,1,1,1.25,1,0.75,0.5,0,0,0,0
8,"Fluted giant clam",633,0.811764706,0.333333333333333,0.25,0.5,0.5,0.5,0.5,0,0,0,0
8,"Giant clam",634,0.811764706,0,0,0,0,0,0,0,0,0,0
8,"Milkfish",635,0.414285714,0,0,1,5.5,5.5,5.5,4.5,0,0,0
8,"Smooth giant clam",636,0.811764706,2.33333333333333,2.25,3.75,3.5,3,2.5,0.5,0,0,0
10,"Milkfish",588,0.414285714,0,0,0,0,0,0,0,0.25,0.333333333333333,0.5
13,"Banana prawn",331,0.275,0,0,0,0,0,0,0,0,0,0
13,"Milkfish",332,0.414285714,40,40,40,40,40,38.75,36.25,33.75,31.6666666666667,30
13,"Mullets nei",333,0.561111111,0,0,0,0,0,0,0,0,0,0
13,"Whiteleg shrimp",334,0.374509804,10,10.5,11,11.5,12,12,11.75,11.5,11.3333333333333,11
13,"Whiteleg shrimp",607,0.374509804,,,5,7.5,10,7.5,11.25,13.75,13.3333333333333,20
14,"Abalones nei",857,0.43,954.333333333333,878.5,689.25,451.25,386,266,184.25,117,83.3333333333333,39.5
