"rgn_id","habitat","extent","health","trend","rank","status","trend_score"
106,"mangrove",136.227161,0.688888888888889,-0.011735,139,97.5969089995165,-0.011735
106,"seagrass",2725.42,1,NA,83,97.5969089995165,-0.011735
107,"mangrove",NA,NA,NA,139,NA,NA
108,"mangrove",NA,0.969822341202239,0,139,NA,NA
108,"seagrass",NA,1,-1,83,NA,NA
110,"mangrove",840.9408,0.777777777777778,-0.00203,139,91.0643522950881,-0.00203
110,"seagrass",2094.06,1,NA,83,91.0643522950881,-0.00203
111,"mangrove",172.9035,0.969822341202239,0,139,99.2535665878783,-0.752653637870308
111,"seagrass",881.11,1,-1,83,99.2535665878783,-0.752653637870308
112,"mangrove",4283.293,1,-0.009622,139,100,-0.009622
112,"seagrass",12994.8,1,NA,83,100,-0.009622
113,"mangrove",84.7053,0.969822341202239,-0.003116,139,97.6481970604433,-0.223109142657889
113,"seagrass",40.1695,1,-1,83,97.6481970604433,-0.223109142657889
114,"mangrove",149.325551,0.769662921348315,-0.001416,139,93.9504857485822,-0.001416
114,"seagrass",702.094,1,NA,83,93.9504857485822,-0.001416
115,"mangrove",180.76305,0.488372093023256,-0.001931,139,75.5248459939544,-0.001931
115,"seagrass",330.089,1,NA,83,75.5248459939544,-0.001931
116,"mangrove",78.5926,1,-0.001058,139,100,-0.001058
116,"seagrass",633.98,1,NA,83,100,-0.001058
117,"mangrove",NA,0.969822341202239,0,139,100,-1
117,"seagrass",32.3103,1,-1,83,100,-1
118,"mangrove",NA,0.969822341202239,0,139,100,-1
118,"seagrass",19.2115,1,-1,83,100,-1
119,"mangrove",0.873251,NA,-0.107143,139,100,-0.107143
119,"seagrass",52.395,1,NA,83,100,-0.107143
120,"mangrove",9.60576,NA,0,139,100,0
120,"seagrass",249.75,1,NA,83,100,0
121,"mangrove",NA,0.969822341202239,NA,139,100,-1
121,"seagrass",10.479,1,-1,83,100,-1
122,"mangrove",1.746502,NA,-0.009259,139,25.2772343349348,-0.009259
122,"seagrass",1.7465,0.252772343349348,NA,83,25.2772343349348,-0.009259
123,"mangrove",NA,NA,NA,139,25.2772343349348,NA
123,"seagrass",470.682,0.252772343349348,NA,83,25.2772343349348,NA
124,"mangrove",NA,NA,0,139,25.2772343349348,NA
124,"seagrass",70.7333,0.252772343349348,NA,83,25.2772343349348,NA
125,"mangrove",3.493,0.728813559322034,-0.013514,139,58.1566027921787,-0.013514
125,"seagrass",2.61975,0.252772343349348,NA,83,58.1566027921787,-0.013514
126,"mangrove",68.11361,0.933333333333333,-0.013211,139,93.3333333333333,-0.013211
127,"mangrove",NA,NA,0,139,NA,NA
129,"mangrove",1545.6538,0.68,-0.001659,139,42.8754048345317,-0.001659
129,"seagrass",1516.84,0,NA,83,42.8754048345317,-0.001659
130,"mangrove",388.59731,0.646687697160883,-0.002783,139,64.6687697160883,-0.002783
131,"mangrove",763.2206,0.62862669245648,-0.003359,139,12.253968774955,-0.003359
131,"seagrass",5278.8,0,NA,83,12.253968774955,-0.003359
