"targets","layer","fld_value","path_in","path_in_exists","filename","path_out"
"AO","ao_access","value","../ohiprep/globalprep/res_mora_ao/v2013/data/r_mora_s4_2013a.csv",TRUE,"ao_access.csv","eez2013/layers/ao_access.csv"
"AO","ao_need","value","../ohiprep/globalprep/ao/v2016/output/wb_gdppcppp_rescaled.csv",TRUE,"ao_need.csv","eez2013/layers/ao_need.csv"
"CW","cw_chemical_trend","trend","../ohiprep/globalprep/prs_chem/v2016/output/cw_chemical_trend_2013_new.csv",TRUE,"cw_chemical_trend.csv","eez2013/layers/cw_chemical_trend.csv"
"CW","cw_nutrient_trend","trend","../ohiprep/globalprep/prs_land-based_nutrient/v2016/output/cw_fertilizers_trend_2013_new.csv",TRUE,"cw_nutrient_trend.csv","eez2013/layers/cw_nutrient_trend.csv"
"CW","cw_pathogen_trend","trend","../ohiprep/globalprep/prs_cw_pathogen/v2016/output/pathogens_popdensity25mi_trend_2013a.csv",TRUE,"cw_pathogen_trend.csv","eez2013/layers/cw_pathogen_trend.csv"
"CW","cw_trash_trend","trend","../ohiprep/globalprep/cw_trend_trash/v2016/output/cw_trash_trend.csv",TRUE,"cw_trash_trend.csv","eez2013/layers/cw_trash_trend.csv"
"CW pressure","po_chemicals_3nm","pressure_score","../ohiprep/globalprep/prs_chem/v2015/output/cw_chemical_score_3nm_2013.csv",TRUE,"po_chemicals_3nm.csv","eez2013/layers/po_chemicals_3nm.csv"
"CW pressure","po_nutrients_3nm","pressure_score","../ohiprep/globalprep/prs_land-based_nutrient/v2015/output/cw_fertilizers_score_3nm_2013.csv",TRUE,"po_nutrients_3nm.csv","eez2013/layers/po_nutrients_3nm.csv"
"CW pressure","po_pathogens","pressure_score","../ohiprep/globalprep/prs_cw_pathogen/v2015/data/po_pathogens_popdensity25mi_2013a.csv",TRUE,"po_pathogens.csv","eez2013/layers/po_pathogens.csv"
"CW pressure","po_trash","pressure_score","../ohiprep/globalprep/cw_pressure_trash/v2015/output/trash_eez_2015.csv",TRUE,"po_trash.csv","eez2013/layers/po_trash.csv"
"FIS","fis_b_bmsy","bbmsy","../ohiprep/globalprep/fis/v2016/data/fis_bbmsy.csv",TRUE,"fis_b_bmsy.csv","eez2013/layers/fis_b_bmsy.csv"
"FIS","fis_meancatch","mean_catch","../ohiprep/globalprep/fis/v2016/data/mean_catch.csv",TRUE,"fis_meancatch.csv","eez2013/layers/fis_meancatch.csv"
"FP","fp_wildcaught_weight","w_fis","../ohiprep/globalprep/fp/v2016/output/wildcaught_weight_v2013.csv",TRUE,"fp_wildcaught_weight.csv","eez2013/layers/fp_wildcaught_weight.csv"
"HABCPCS","hab_extent","km2","../ohiprep/globalprep/hab_combined/v2016/output/habitat_extent_v2015.csv",TRUE,"hab_extent.csv","eez2013/layers/hab_extent.csv"
"HABCPCS","hab_health","health","../ohiprep/globalprep/hab_combined/v2016/output/habitat_health_2013.csv",TRUE,"hab_health.csv","eez2013/layers/hab_health.csv"
"HABCPCS","hab_trend","trend","../ohiprep/globalprep/hab_combined/v2016/output/habitat_trend_2013.csv",TRUE,"hab_trend.csv","eez2013/layers/hab_trend.csv"
"ICO","ico_spp_iucn_status","category","../ohiprep/globalprep/spp_ico/v2016/output/ico_spp_iucn_status.csv",TRUE,"ico_spp_iucn_status.csv","eez2013/layers/ico_spp_iucn_status.csv"
"LE","le_gdp","usd","../ohiprep/globalprep/le/v2013/data/le_gdp.csv",TRUE,"le_gdp.csv","eez2013/layers/le_gdp.csv"
"LE","le_gdp_pc_ppp","usd","../ohiprep/globalprep/le/v2013/data/le_cntry_gdp_pc_ppp_2013a.csv",TRUE,"le_gdp_pc_ppp.csv","eez2013/layers/le_gdp_pc_ppp.csv"
"LE","le_jobs_cur_adj_value","value","../ohiprep/globalprep/le/v2013/data/le_2013_status_model_curref_jobs_cur_adj_value.csv",TRUE,"le_jobs_cur_adj_value.csv","eez2013/layers/le_jobs_cur_adj_value.csv"
"LE","le_jobs_cur_base_value","value","../ohiprep/globalprep/le/v2013/data/le_2013_status_model_curref_jobs_cur_base_value.csv",TRUE,"le_jobs_cur_base_value.csv","eez2013/layers/le_jobs_cur_base_value.csv"
