"rgn_id","year","popsum","sust_tonnes_sum","mar_pop","status"
5,2000,,708.717195359333,,
5,2001,,703.4476186445,,
5,2002,,755.4001979815,,
5,2003,,817.9484122325,,
5,2004,,862.1202376045,,
5,2005,206187,876.854761406,0.00395894664962389,1
5,2006,209926,860.191467765,0.00381086006799301,1
5,2007,213665,801.676388433,0.00349157039498046,1
5,2008,217404,692.91448373425,0.00295127069958464,1
5,2009,221144,653.64702343575,0.00277343796937968,1
5,2010,224883,602.005026110667,0.00251311751919887,1
5,2011,228458,534.126586996,0.00219545581308162,1
6,2000,,0,,
6,2001,,0,,
6,2002,,0,,
6,2003,,0,,
6,2004,,2.047222221,,
6,2005,230424,3.72222222,1.61537956983648e-05,0.0246940244352041
6,2006,236354,5.58333333,2.36227579393621e-05,0.0361116961408997
6,2007,242283,5.58333333,2.30446763908322e-05,0.0352279930068812
6,2008,248213,5.876797384,1.42462768227289e-05,0.0217780337538106
6,2009,254142,5.512581699,7.32311506952806e-06,0.0111947176902233
6,2010,260072,4.868627452,0,0
6,2011,266328,7.302941178,0,0
7,2000,,3.66666667,,
7,2001,,2.7500000025,,
7,2002,,1.37500000125,,
7,2003,,0,,
7,2004,,0,,
7,2005,495294,0.09166666675,1.8507526186467e-07,0.000282921309899976
7,2006,511611,0.1833333335,3.58345175338294e-07,0.000547795990569393
7,2007,527929,0.1833333335,3.47268919684276e-07,0.000530863912630672
7,2008,544247,0.1833333335,3.36856856353825e-07,0.000514947173858924
7,2009,560565,0.09166666675,1.63525490799461e-07,0.000249978552470452
7,2010,576883,0,0,0
7,2011,594743,0,0,0
8,2000,,2.24588235326667,,
8,2001,,2.5570588239,,
8,2002,,3.22676470635,,
8,2003,,3.8964705888,,
8,2004,,4.0994117653,,
8,2005,36690.1,6.48222689135,1.2721816128874e-05,0.019447617402911
8,2006,37409.4,7.73768907485,1.24772037495923e-05,0.0190736827448327
8,2007,38128.7,13.74028991482,3.80560945423002e-05,0.0581756849030304
8,2008,38847.9,16.041878148935,4.03814696378697e-05,0.0617304450661061
8,2009,39567.2,15.634478987855,2.98509282241351e-05,0.0456325909244313
8,2010,40286.5,17.73790475854,3.84189419807297e-05,0.0587303634242982
8,2011,41007.6,12.45047898697,7.62125586013324e-06,0.0116504802927602
9,2000,,0.122605042,,
9,2001,,0.122605042,,
9,2002,,0.122605042,,
9,2003,,0.122605042,,
9,2004,,0.122605042,,
9,2005,167370,0.122605042,4.85012072653403e-07,0.000741429457021331
9,2006,171289,0.0919537815,3.55436443379318e-07,0.000543349462990882
9,2007,175209,0.061302521,2.31656109560582e-07,0.000354128635577111
9,2008,179129,0.0306512605,1.13293311803226e-07,0.000173189500613608
9,2009,183049,0,0,0
9,2010,186969,0,0,0
9,2011,190950,0,0,0
10,2000,,0.0552380952,,
10,2001,,0.0414285714,,
10,2002,,0.0414285714,,
10,2003,,0,,
10,2004,,0.0828571428,,
10,2005,10459,0.0828571428,7.92209033368391e-06,0.0121103606812167
10,2006,10696.7,0.0828571428,7.74604717342732e-06,0.0118412465867834
10,2007,10934.3,0.0828571428,7.57772722533679e-06,0.0115839388314612
10,2008,11172,0,0,0
10,2009,11409.7,0,0,0
10,2010,11647.3,0,0,0
10,2011,11888.7,0,0,0
13,2000,,10.802777777,,
13,2001,,13.18121498275,,
13,2002,,15.5596521885,,
13,2003,,17.93808939425,,
13,2004,,20.503781502,,
13,2005,340088,21.159173659,0,0
13,2006,349716,22.282703071,0,0
13,2007,359345,23.874369738,0,0
13,2008,368973,25.14011553705,0,0
13,2009,378601,25.41518556605,0,0
13,2010,388230,25.6166993387333,0,0
13,2011,397959,25.0834523741,0,0
14,2000,,57262.6696334353,,
14,2001,,60755.3033064425,,
14,2002,,62843.8727698973,,
14,2003,,64456.39162561,,
14,2004,,68667.6675969705,,
14,2005,20204600,69246.1191991862,6.54141465631589e-07,0.000999974596560105
14,2006,20341800,76397.6972363,3.24864728207435e-07,0.00049661501768915
14,2007,20478900,80745.317302254,3.17399860099908e-07,0.000485203604613552
14,2008,20616100,83278.8481895436,2.52230053016817e-07,0.000385579662439374
14,2009,20753200,88624.2232070869,3.30430969427606e-07,0.000505124033110031
14,2010,20890400,88608.6998631306,2.44078087780352e-07,0.000373117896022174
