"rgn_id","species","species_code","sust_coeff","year","sm_tonnes","sust_tonnes"
5,"Blue shrimp",1105,0.372222222,2000,1803.66666666667,671.364814414
5,"Pacific cupped oyster",1106,0.757142857,2000,49.3333333333333,37.3523809453333
5,"Blue shrimp",1105,0.372222222,2001,1779,662.183332938
5,"Pacific cupped oyster",1106,0.757142857,2001,54.5,41.2642857065
5,"Blue shrimp",1105,0.372222222,2002,1899.25,706.9430551335
5,"Pacific cupped oyster",1106,0.757142857,2002,64,48.457142848
5,"Blue shrimp",1105,0.372222222,2003,2050,763.0555551
5,"Pacific cupped oyster",1106,0.757142857,2003,72.5,54.8928571325
5,"Blue shrimp",1105,0.372222222,2004,2158.5,803.441666187
5,"Pacific cupped oyster",1106,0.757142857,2004,77.5,58.6785714175
5,"Blue shrimp",1105,0.372222222,2005,2193,816.283332846
5,"Pacific cupped oyster",1106,0.757142857,2005,80,60.57142856
5,"Blue shrimp",1105,0.372222222,2006,2149.25,799.9986106335
5,"Pacific cupped oyster",1106,0.757142857,2006,79.5,60.1928571315
5,"Blue shrimp",1105,0.372222222,2007,2004.25,746.0263884435
5,"Pacific cupped oyster",1106,0.757142857,2007,73.5,55.6499999895
5,"Blue shrimp",1105,0.372222222,2008,1723.75,641.6180551725
5,"Pacific cupped oyster",1106,0.757142857,2008,67.75,51.29642856175
5,"Blue shrimp",1105,0.372222222,2009,1647.75,613.3291663005
5,"Pacific cupped oyster",1106,0.757142857,2009,53.25,40.31785713525
5,"Blue shrimp",1105,0.372222222,2010,1518.33333333333,565.15740707
5,"Pacific cupped oyster",1106,0.757142857,2010,48.6666666666667,36.8476190406667
5,"Blue shrimp",1105,0.372222222,2011,1347.5,501.569444145
5,"Pacific cupped oyster",1106,0.757142857,2011,43,32.557142851
6,"Blue shrimp",815,0.372222222,2000,0,0
6,"Whiteleg shrimp",816,0.374509804,2000,0,0
6,"Blue shrimp",815,0.372222222,2001,0,0
6,"Whiteleg shrimp",816,0.374509804,2001,0,0
6,"Blue shrimp",815,0.372222222,2002,0,0
6,"Whiteleg shrimp",816,0.374509804,2002,0,0
6,"Blue shrimp",815,0.372222222,2003,0,0
6,"Whiteleg shrimp",816,0.374509804,2003,0,0
6,"Blue shrimp",815,0.372222222,2004,5.5,2.047222221
6,"Whiteleg shrimp",816,0.374509804,2004,0,0
6,"Blue shrimp",815,0.372222222,2005,10,3.72222222
6,"Whiteleg shrimp",816,0.374509804,2005,0,0
6,"Blue shrimp",815,0.372222222,2006,15,5.58333333
