"","x"
"1",77.09
"2",77.19
"3",86.37
"4",83.73
"5",77.06
"6",59.03
"7",55.58
"8",69.85
"9",56.35
"10",55.12
"11",59.54
"12",76.19
"13",64.45
"14",69.71
"15",58.66
"16",86.3
"17",49.23
"18",56.3
"19",55.02
"20",70.31
"21",40.98
"24",53.26
"25",61.45
"26",56.68
"28",49.74
"29",79.11
"30",79.28
"31",63.31
"32",68.51
"33",69.29
"34",69.76
"35",69.21
"36",68.85
"37",66.9
"38",82.37
"39",51.61
"40",56.37
"41",60.66
"42",52.9
"43",57.7
"44",31.89
"45",42.48
"46",48.9
"47",43.8
"48",57.18
"49",38.58
"50",56.33
"51",55.35
"52",54.99
"53",49.11
"54",73.94
"55",72.4
"56",62.17
"57",72.81
"58",72.82
"59",82.85
"60",80.99
"61",54.62
"62",56.35
"63",51.69
"64",60.94
"65",53.78
"66",65.21
"67",39.32
"68",77.83
"69",74.88
"70",77.8
"71",66.16
"72",69.21
"73",56.99
"74",59.78
"75",56.01
"76",59.87
"77",43.77
"78",54.13
"79",65.72
"80",66.52
"81",72.35
"82",56.12
"84",48.81
"85",73.38
"86",72.91
"88",82.74
"89",82.09
"90",71.08
"91",70.11
"92",69.7
"93",68.91
"94",85.37
"95",71.95
"96",50.77
"97",46.76
"98",44.41
"99",52.17
"100",55.85
"101",70.61
"102",69.55
"103",49.21
"104",47.35
"105",76.66
"106",57.08
"107",69.26
"108",73.56
"110",67.01
"111",74.61
"112",61.44
"113",71.1
"114",44.52
"115",64.3
"116",67.72
"117",72.7
"118",72.24
"119",64.55
"120",73.34
"121",72.68
"122",69.09
"123",66.18
"124",71.28
"125",62.69
"126",58.98
"127",69.42
"129",66.42
"130",71.94
"131",61.35
"132",62.24
"133",63.19
"134",68.22
"135",67.85
"136",61.45
"137",63.66
"138",61.54
"139",48.91
"140",76.62
"141",74.41
"143",73.78
"144",87.31
"145",80.96
"146",75.12
"147",72.06
"148",56.41
"149",76.18
"150",76.02
"151",69.53
"152",65.16
"153",63.09
"154",57.82
"155",57.56
"156",79.25
"157",66.04
"158",75.39
"159",75.66
"161",71.82
"162",80.97
"163",70.91
"164",70.43
"166",65.18
"167",53.24
"168",63.76
"169",77.98
"171",68.07
"172",63.4
"173",65.9
"174",86.76
"175",85.68
"176",84.24
"177",84.71
"178",76.45
"179",80.79
"180",83.4
"181",82.65
"182",72.93
"183",76.59
"184",71.78
"185",64.63
"186",54.34
"187",71.71
"188",77.56
"189",76.88
"190",66.48
"191",49.36
"192",42.03
"193",54.45
"194",50.32
"195",48.85
"196",41.7
"197",48.23
"198",54.36
"199",47.09
"200",44.53
"202",64.19
"203",57.97
"204",55.11
"205",43.85
"206",62.94
"207",63.29
"208",70.56
"209",56.7
"210",76.79
"212",55.49
"213",41.52
"214",60.8
"215",57.03
"216",62.62
"218",76.09
"219",69.1
"220",72.27
"221",80.58
"222",84.84
"223",87.41
"224",78.8
"227",74.21
"228",73.48
"231",51.09
"232",57.03
"237",46.72
"244",66.93
"245",66.81
"247",65.17
"248",68.63
"249",66.52
"250",71.77
