"goal","dimension","region_id","new_score","score"
"AO","resilience",1,76.93,76.82
"AO","resilience",2,77.04,76.93
"AO","resilience",3,86.63,86.82
"AO","resilience",4,84,84.19
"AO","resilience",5,77.26,77.4
"AO","resilience",6,59.01,58.99
"AO","resilience",7,55.78,55.91
"AO","resilience",8,70.4,70.79
"AO","resilience",9,56.24,56.16
"AO","resilience",10,54.95,54.83
"AO","resilience",11,59.61,59.65
"AO","resilience",12,75.99,75.84
"AO","resilience",13,64.05,63.76
"AO","resilience",14,69.7,69.69
"AO","resilience",15,58.77,58.86
"AO","resilience",16,86.56,86.75
"AO","resilience",17,49.06,48.94
"AO","resilience",18,56.55,56.74
"AO","resilience",19,55.07,55.11
"AO","resilience",20,70.28,70.26
"AO","resilience",21,40.93,40.89
"AO","resilience",24,53.23,53.21
"AO","resilience",25,61.52,61.57
"AO","resilience",26,56.77,56.84
"AO","resilience",28,49.78,49.81
"AO","resilience",29,79.51,79.79
"AO","resilience",30,79.68,79.97
"AO","resilience",31,63.51,63.65
"AO","resilience",32,68.55,68.58
"AO","resilience",33,69.27,69.26
"AO","resilience",34,69.74,69.73
"AO","resilience",35,69.19,69.18
"AO","resilience",36,68.84,68.83
"AO","resilience",37,67.01,67.08
"AO","resilience",38,82.73,82.99
"AO","resilience",39,51.48,51.39
"AO","resilience",40,56.45,56.51
"AO","resilience",41,61.03,61.3
"AO","resilience",42,53.09,53.22
"AO","resilience",43,57.85,57.96
"AO","resilience",44,31.8,31.74
"AO","resilience",45,42.32,42.2
"AO","resilience",46,49,49.08
"AO","resilience",47,43.72,43.66
"AO","resilience",48,57.15,57.13
"AO","resilience",49,38.38,38.25
"AO","resilience",50,56.42,56.49
"AO","resilience",51,55.08,54.89
"AO","resilience",52,54.66,54.43
"AO","resilience",53,49.14,49.16
"AO","resilience",54,74.24,74.46
"AO","resilience",55,72.64,72.82
"AO","resilience",56,62.15,62.13
"AO","resilience",57,73.06,73.25
"AO","resilience",58,73.08,73.26
"AO","resilience",59,83.28,83.58
"AO","resilience",60,81.2,81.35
"AO","resilience",61,54.46,54.33
"AO","resilience",62,56.39,56.42
"AO","resilience",63,51.68,51.67
"AO","resilience",64,61.35,61.65
"AO","resilience",65,53.79,53.8
"AO","resilience",66,65.57,65.82
"AO","resilience",67,39.31,39.29
"AO","resilience",68,78.1,78.29
"AO","resilience",69,75.21,75.45
"AO","resilience",70,78.09,78.3
"AO","resilience",71,66.36,66.51
"AO","resilience",72,69.5,69.7
"AO","resilience",73,57.12,57.21
"AO","resilience",74,59.49,59.29
"AO","resilience",75,56.06,56.1
"AO","resilience",76,59.8,59.75
"AO","resilience",77,43.62,43.51
"AO","resilience",78,54.11,54.1
"AO","resilience",79,65.53,65.39
"AO","resilience",80,66.62,66.69
"AO","resilience",81,72.34,72.33
"AO","resilience",82,55.95,55.83
"AO","resilience",84,48.62,48.49
"AO","resilience",85,73.17,73.02
"AO","resilience",86,72.7,72.55
"AO","resilience",88,82.94,83.08
"AO","resilience",89,82.29,82.43
"AO","resilience",90,71.38,71.59
"AO","resilience",91,69.96,69.85
"AO","resilience",92,69.55,69.45
"AO","resilience",93,68.76,68.66
"AO","resilience",94,85.64,85.83
"AO","resilience",95,71.73,71.57
"AO","resilience",96,50.62,50.52
"AO","resilience",97,46.71,46.68
"AO","resilience",98,44.36,44.32
"AO","resilience",99,52.08,52.02
"AO","resilience",100,56.22,56.49
"AO","resilience",101,70.75,70.86
"AO","resilience",102,69.77,69.94
"AO","resilience",103,49.1,49.02
"AO","resilience",104,47.39,47.42
"AO","resilience",105,76.59,76.53
"AO","resilience",106,57.13,57.17
"AO","resilience",107,68.91,68.66
"AO","resilience",108,73.61,73.64
"AO","resilience",110,66.83,66.71
"AO","resilience",111,74.56,74.52
"AO","resilience",112,61.52,61.58
"AO","resilience",113,71.06,71.03
"AO","resilience",114,44.35,44.22
"AO","resilience",115,64.59,64.8
"AO","resilience",116,67.77,67.8
"AO","resilience",117,72.56,72.47
"AO","resilience",118,72.1,72
"AO","resilience",119,64.25,64.03
"AO","resilience",120,73.54,73.68
"AO","resilience",121,72.54,72.44
"AO","resilience",122,68.95,68.86
"AO","resilience",123,65.99,65.86
"AO","resilience",124,71.38,71.46
"AO","resilience",125,62.77,62.82
"AO","resilience",126,58.91,58.87
"AO","resilience",127,69.62,69.76
"AO","resilience",129,66.72,66.94
"AO","resilience",130,72.29,72.54
"AO","resilience",131,61.74,62.02
"AO","resilience",132,62.52,62.71
"AO","resilience",133,63.68,64.02
"AO","resilience",134,68.5,68.71
"AO","resilience",135,68.36,68.73
"AO","resilience",136,61.91,62.23
"AO","resilience",137,64.07,64.36
"AO","resilience",138,61.65,61.73
"AO","resilience",139,49.14,49.3
"AO","resilience",140,76.84,76.99
"AO","resilience",141,74.21,74.07
"AO","resilience",143,73.73,73.7
"AO","resilience",144,87.65,87.89
"AO","resilience",145,81.16,81.3
"AO","resilience",146,74.98,74.87
"AO","resilience",147,71.98,71.91
"AO","resilience",148,56.09,55.86
"AO","resilience",149,75.98,75.84
"AO","resilience",150,75.81,75.67
"AO","resilience",151,69.32,69.18
"AO","resilience",152,64.99,64.87
"AO","resilience",153,62.98,62.9
"AO","resilience",154,57.71,57.64
"AO","resilience",155,57.25,57.02
"AO","resilience",156,79.14,79.07
"AO","resilience",157,66.13,66.2
"AO","resilience",158,75.22,75.09
"AO","resilience",159,75.46,75.31
"AO","resilience",161,71.73,71.67
"AO","resilience",162,80.97,80.97
"AO","resilience",163,70.76,70.66
"AO","resilience",164,70.74,70.97
"AO","resilience",166,65.47,65.67
"AO","resilience",167,53.2,53.17
"AO","resilience",168,63.98,64.13
"AO","resilience",169,78.38,78.66
"AO","resilience",171,68.49,68.79
"AO","resilience",172,63.69,63.9
"AO","resilience",173,65.88,65.87
"AO","resilience",174,87.12,87.38
"AO","resilience",175,85.89,86.03
"AO","resilience",176,84.6,84.85
"AO","resilience",177,85.05,85.29
"AO","resilience",178,76.75,76.96
"AO","resilience",179,81.13,81.38
"AO","resilience",180,83.75,84.01
"AO","resilience",181,83.03,83.31
"AO","resilience",182,73.17,73.34
"AO","resilience",183,76.99,77.29
"AO","resilience",184,72.12,72.36
"AO","resilience",185,64.38,64.19
"AO","resilience",186,53.86,53.52
"AO","resilience",187,72.17,72.49
"AO","resilience",188,77.91,78.17
"AO","resilience",189,77.27,77.54
"AO","resilience",190,66.43,66.39
"AO","resilience",191,49.29,49.25
"AO","resilience",192,41.81,41.66
"AO","resilience",193,54.83,55.1
"AO","resilience",194,50.57,50.76
"AO","resilience",195,48.93,48.98
"AO","resilience",196,41.58,41.49
"AO","resilience",197,48.32,48.39
"AO","resilience",198,54.33,54.31
"AO","resilience",199,47.24,47.34
"AO","resilience",200,44.43,44.35
"AO","resilience",202,64.43,64.61
"AO","resilience",203,58.11,58.2
"AO","resilience",204,55.19,55.25
"AO","resilience",205,43.93,43.99
"AO","resilience",206,62.92,62.91
"AO","resilience",207,63.61,63.84
"AO","resilience",208,70.5,70.46
"AO","resilience",209,56.57,56.48
"AO","resilience",210,77.09,77.3
"AO","resilience",212,55.16,54.93
"AO","resilience",213,41.52,NA
"AO","resilience",214,61.12,61.36
"AO","resilience",215,57.05,57.07
"AO","resilience",216,63.1,63.44
"AO","resilience",218,76.03,75.98
"AO","resilience",219,69.01,68.94
"AO","resilience",220,72.28,72.29
"AO","resilience",221,80.8,80.96
"AO","resilience",222,85.3,85.63
"AO","resilience",223,87.75,88
"AO","resilience",224,78.95,79.07
"AO","resilience",227,74.18,74.16
"AO","resilience",228,73.42,73.38
"AO","resilience",231,51.16,51.22
"AO","resilience",232,57.03,57.02
"AO","resilience",237,46.62,46.54
"AO","resilience",244,66.73,66.58
"AO","resilience",245,66.61,66.46
"AO","resilience",247,65.15,65.13
"AO","resilience",248,68.49,68.39
"AO","resilience",249,66.3,66.14
"AO","resilience",250,71.55,71.39
"CP","resilience",1,78.14,78.14
"CP","resilience",2,78.25,78.25
"CP","resilience",5,68.72,68.73
"CP","resilience",6,48.66,48.66
"CP","resilience",7,58.09,58.09
"CP","resilience",8,69.62,69.62
"CP","resilience",9,45.76,45.76
"CP","resilience",10,44.07,44.07
"CP","resilience",11,49.85,49.85
"CP","resilience",12,53.44,53.44
"CP","resilience",13,41.45,41.45
"CP","resilience",14,71.51,71.5
"CP","resilience",15,61.3,61.3
"CP","resilience",16,90.64,90.64
"CP","resilience",17,37.51,37.5
