"species_code","species"
294,"Blue shrimp"
607,"Pacific cupped oyster"
263,"Blue shrimp"
552,"Giant tiger prawn"
797,"Bear paw clam"
798,"Crocus giant clam"
799,"Elongate giant clam"
229,"Fluted giant clam"
608,"Giant clam"
230,"Milkfish"
800,"Smooth giant clam"
391,"Clams, etc. nei"
392,"Milkfish"
91,"Milkfish"
225,"Banana prawn"
855,"Milkfish"
401,"Mullets nei"
856,"Whiteleg shrimp"
253,"Abalones nei"
614,"Abalones nei"
439,"Amberjacks nei"
440,"Amberjacks nei"
615,"Barramundi"
616,"Barramundi"
617,"Blackhead seabream"
618,"Blackhead seabream"
159,"Blood cockle"
168,"Clams, etc. nei"
169,"Clams, etc. nei"
441,"Cobia"
945,"Cobia"
442,"Croakers, drums nei"
126,"Flathead grey mullet"
501,"Flathead grey mullet"
443,"Fourfinger threadfin"
160,"Giant tiger prawn"
165,"Greasyback shrimp"
927,"Greater amberjack"
444,"Groupers nei"
619,"Groupers nei"
127,"Indo-Pacific swamp crab"
178,"Japanese carpet shell"
620,"Japanese carpet shell"
166,"Japanese eel"
128,"Japanese hard clam"
180,"Japanese hard clam"
254,"Japanese spiny lobster"
445,"Japanese spiny lobster"
170,"Kuruma prawn"
621,"Kuruma prawn"
266,"Marine crabs nei"
502,"Marine crabs nei"
129,"Marine fishes nei"
446,"Marine fishes nei"
171,"Marine molluscs nei"
255,"Marine molluscs nei"
130,"Milkfish"
131,"Natantian decapods nei"
132,"Pacific cupped oyster"
526,"Porgies, seabreams nei"
622,"Porgies, seabreams nei"
527,"Redtail prawn"
666,"Snappers, jobfishes nei"
667,"Snappers, jobfishes nei"
913,"Trumpet emperor"
768,"Whiteleg shrimp"
232,"Banana prawn"
637,"Barramundi"
233,"Flathead lobster"
179,"Giant tiger prawn"
739,"Giant tiger prawn"
98,"Green mussel"
638,"Groupers, seabasses nei"
639,"Groupers, seabasses nei"
99,"Indo-Pacific swamp crab"
403,"Indo-Pacific swamp crab"
404,"Jacks, crevalles nei"
705,"Marine fishes nei"
761,"Marine fishes nei"
100,"Metapenaeus shrimps nei"
662,"Metapenaeus shrimps nei"
101,"Milkfish"
727,"Milkfish"
663,"Scats"
102,"Slipper cupped oyster"
405,"Snappers nei"
406,"Tropical spiny lobsters nei"
983,"Whiteleg shrimp"
306,"Abalones nei"
929,"Aquatic invertebrates nei"
505,"Atlantic salmon"
307,"Australian mussel"
563,"Barramundi"
649,"Brine shrimp"
468,"Brown tiger prawn"
627,"Brown tiger prawn"
650,"Chinook(=Spring=King)salmon"
564,"Cupped oysters nei"
816,"Cupped oysters nei"
469,"Eastern king prawn"
506,"Eastern king prawn"
470,"Eastern school shrimp"
1032,"Flat and cupped oysters nei"
507,"Giant tiger prawn"
508,"Giant tiger prawn"
308,"Indo-Pacific swamp crab"
565,"Kuruma prawn"
309,"Marine fishes nei"
1033,"Marine fishes nei"
1,"Pacific cupped oyster"
536,"Pacific cupped oyster"
817,"Penaeus shrimps nei"
509,"Rainbow trout"
651,"Southern Australia scallop"
671,"Southern bluefin tuna"
2,"Sydney cupped oyster"
167,"Sydney cupped oyster"
981,"Giant tiger prawn"
609,"Mangrove cupped oyster"
801,"Pearl oyster shells nei"
756,"Anadara clams nei"
544,"Flathead grey mullet"
335,"Giant tiger prawn"
336,"Green mussel"
569,"Metapenaeus shrimps nei"
545,"Pearl oyster shells nei"
864,"Milkfish"
109,"Abalones nei"
245,"Aquatic invertebrates nei"
553,"Bastard halibut"
905,"Blackhead seabream"
110,"Blood cockle"
906,"Dotted gizzard shad"
246,"Filefishes, leatherjackets nei"
487,"Flathead grey mullet"
111,"Fleshy prawn"
247,"Globose clam"
427,"Groupers nei"
428,"Horned turban"
112,"Inflated ark"
113,"Japanese amberjack"
173,"Japanese carpet shell"
174,"Japanese hard clam"
907,"Japanese jack mackerel"
429,"Japanese seabass"
114,"Korean mussel"
731,"Korean rockfish"
115,"Kuruma prawn"
908,"Mackerels nei"
488,"Marine crustaceans nei"
489,"Marine fishes nei"
116,"Marine molluscs nei"
430,"Okhotsk atka mackerel"
117,"Pacific cupped oyster"
431,"Porgies, seabreams nei"
909,"Scorpionfishes nei"
432,"Sea squirts nei"
248,"Whiteleg shrimp"
433,"Yesso scallop"
881,"Japanese sea cucumber"
95,"Marine molluscs nei"
979,"Yesso scallop"
947,"Barramundi"
948,"Blood cockle"
949,"Green mussel"
950,"Indo-Pacific swamp crab"
951,"Marine fishes nei"
316,"Marine molluscs nei"
952,"Orange-spotted grouper"
698,"Penaeus shrimps nei"
953,"Snappers nei"
915,"Abalones nei"
133,"Banana prawn"
134,"Barramundi"
740,"Barramundi"
135,"Blood cockle"
136,"Blood cockle"
137,"Cupped oysters nei"
668,"Cupped oysters nei"
692,"Fourfinger threadfin"
138,"Giant tiger prawn"
528,"Giant tiger prawn"
139,"Green mussel"
752,"Green mussel"
140,"Groupers nei"
741,"Groupers nei"
141,"Horse mussels nei"
142,"Indo-Pacific swamp crab"
812,"Marine fishes nei"
143,"Metapenaeus shrimps nei"
144,"Penaeus shrimps nei"
145,"Squaretail mullet"
813,"Whiteleg shrimp"
814,"Whiteleg shrimp"
898,"Cobia"
851,"Red drum"
611,"Giant tiger prawn"
944,"Ballan wrasse"
776,"Cobia"
287,"Drums nei"
414,"Green turtle"
484,"Marine fishes nei"
604,"Giant tiger prawn"
384,"Hooded oyster"
385,"Indo-Pacific swamp crab"
386,"Marine fishes nei"
880,"Red drum"
123,"Barramundi"
279,"Giant tiger prawn"
888,"Indian backwater oyster"
272,"Indo-Pacific swamp crab"
124,"Milkfish"
397,"Giant tiger prawn"
398,"Indian white prawn"
603,"Giant tiger prawn"
937,"Indo-Pacific swamp crab"
920,"Sea cucumbers nei"
215,"Penaeus shrimps nei"
763,"Penaeus shrimps nei"
158,"Indian white prawn"
748,"Gilthead seabream"
704,"Indian white prawn"
227,"Yellowfin tuna"
415,"Barramundi"
237,"Flathead grey mullet"
523,"Giant tiger prawn"
104,"Gilthead seabream"
642,"Goldlined seabream"
416,"Groupers nei"
717,"Indian white prawn"
524,"Metapenaeus shrimps nei"
1022,"Sea cucumbers nei"
1042,"Sobaity seabream"
757,"Gilthead seabream"
724,"Goldsilk seabream"
482,"Marine fishes nei"
758,"Orange-spotted grouper"
759,"Sobaity seabream"
4,"Gilthead seabream"
946,"Orange-spotted grouper"
311,"Sobaity seabream"
818,"White-spotted spinefoot"
228,"Penaeus shrimps nei"
865,"European seabass"
866,"Gilthead seabream"
258,"Goldlined seabream"
557,"Greasy grouper"
451,"Green tiger prawn"
742,"Indian white prawn"
558,"Mullets nei"
867,"Sobaity seabream"
452,"White-spotted spinefoot"
256,"Atlantic bluefin tuna"
644,"Carpet shells nei"
