"country","AO"
"Qatar",100
"Jarvis Island",93
"Palmyra Atoll",93
"Johnston Atoll",93
"Wake Island",93
"Australia",90
"Norway",90
"Macquarie Island",89
"Norfolk Island",89
"Denmark",89
"Greenland",89
"Cocos Islands",88
"Christmas Island",88
"Tristan da Cunha",88
"New Zealand",88
"Ascension",88
"Saint Helena",88
"Falkland Islands",88
"Faeroe Islands",88
"Howland Island and Baker Island",86
"United States",86
"Namibia",86
"Brunei",85
"Singapore",85
"Jan Mayen",84
"Clipperton Island",84
"South Korea",84
"American Samoa",83
"Northern Mariana Islands and Guam",83
"Canada",83
"Lithuania",83
"Jersey",83
"Guernsey",82
"United Kingdom",81
"France",81
"Tokelau",80
"Germany",79
"Cyprus",79
"Estonia",78
"Netherlands",78
"Latvia",78
"Saint Pierre and Miquelon",78
"Ireland",78
"Monaco",78
"Israel",78
"Belgium",77
"Finland",77
"Chile",77
"Cuba",77
"Cook Islands",76
"Poland",76
"Iceland",76
"Niue",75
"China",75
"Northern Saint-Martin",74
"Sweden",74
"Saint Kitts and Nevis",74
"Uruguay",74
"Russia",73
"Guadeloupe and Martinique",73
"Bahamas",72
"Italy",72
"South Africa",72
"Kuwait",72
"Spain",72
"Saint Lucia",72
"Turkey",72
"Syria",72
"Samoa",71
"Dominica",71
"Pitcairn",70
"Thailand",70
"Portugal",70
"Turks and Caicos Islands",70
"Argentina",70
"Puerto Rico and Virgin Islands of the United States",70
"Montserrat",70
"Trinidad and Tobago",70
"Belize",70
"Taiwan",70
"British Virgin Islands",70
"Anguilla",70
"Peru",70
"El Salvador",70
"Madeira",69
"Malta",69
"Azores",69
"Gibraltar",69
"Cayman Islands",69
"Egypt",69
"Iran",69
"Saudi Arabia",69
"Tunisia",69
"Georgia",69
"Venezuela",69
"Albania",69
"Antigua and Barbuda",68
"Canary Islands",68
"Greece",68
"Tonga",68
"Slovenia",68
"Bahrain",68
"Algeria",68
"Tanzania",67
"Malaysia",67
"Bermuda",67
"Romania",66
"United Arab Emirates",65
"Bulgaria",65
"Suriname",65
"Gabon",65
"Cambodia",64
"French Polynesia",63
"Wallis and Futuna",63
"Dominican Republic",63
"Oman",63
"Japan",63
"Montenegro",63
"Lebanon",63
"New Caledonia",62
"Ecuador",62
"Brazil",62
"Morocco",61
"Ukraine",61
"Bosnia and Herzegovina",61
"French Guiana",60
"Panama",60
"Colombia",60
"Philippines",60
"Curacao",59
"Saba",59
"Bonaire",59
"Aruba",59
"Kenya",59
"Barbados",59
"Gambia",58
"Sint Eustatius",58
"Mexico",58
"Costa Rica",58
"Bangladesh",58
"Sint Maarten",58
"Oecussi Ambeno",58
"Pakistan",58
"Sierra Leone",58
"Yemen",57
"Equatorial Guinea",57
"Saint Vincent and the Grenadines",57
"Phoenix Group",56
"Seychelles",56
"Eritrea",56
"Jordan",56
"Grenada",56
"Line Group",55
"Jamaica",55
"Croatia",54
"Guatemala",54
"Andaman and Nicobar",54
"Iraq",54
"Kiribati",53
"Mauritius",53
"Guyana",53
"North Korea",53
"Nicaragua",53
"Marshall Islands",52
"Djibouti",52
"Honduras",52
"Myanmar",52
"Senegal",52
"Palau",51
"Republique du Congo",51
"Papua New Guinea",51
"Mauritania",51
"Vietnam",51
"Angola",51
"British Indian Ocean Territory",50
"East Timor",50
"Haiti",50
"Nigeria",50
"Guinea Bissau",50
"Sudan",49
"Democratic Republic of the Congo",49
"Libya",49
"Glorioso Islands",48
"Mayotte",48
"Maldives",48
"R_union",48
"Juan de Nova Island",48
"Ile Tromelin",48
"Indonesia",48
"Bassas da India",48
"Ile Europa",48
"Cape Verde",47
"Western Sahara",47
"Sri Lanka",47
"Fiji",46
"Nauru",46
"Vanuatu",45
"Tuvalu",45
"Micronesia",45
"India",45
"Ghana",45
"Solomon Islands",44
"Sao Tome and Principe",44
"Mozambique",43
"Madagascar",43
"Comoro Islands",43
"Cameroon",43
"Benin",43
"Somalia",43
"Ivory Coast",43
"Togo",42
"Guinea",42
"Liberia",42
"Prince Edward Islands",NA
"Heard and McDonald Islands",NA
"South Georgia and the South Sandwich Islands",NA
"Crozet Islands",NA
"Kerguelen Islands",NA
"Bouvet Island",NA
"Amsterdam Island and Saint Paul Island",NA
