"country","FIS"
"Tuvalu",98
"Solomon Islands",98
"Papua New Guinea",98
"New Caledonia",97
"Wallis and Futuna",96
"Marshall Islands",96
"Palau",96
"Nauru",96
"Georgia",95
"Panama",94
"Howland Island and Baker Island",92
"Vanuatu",92
"Ukraine",90
"Philippines",89
"Mayotte",88
"Bulgaria",88
"Fiji",87
"Slovenia",87
"Crozet Islands",86
"Guatemala",86
"Prince Edward Islands",85
"Indonesia",85
"Gibraltar",84
"Oman",84
"British Indian Ocean Territory",83
"Ivory Coast",83
"R_union",82
"Ile Tromelin",82
"Togo",82
"Bahamas",81
"Qatar",81
"Maldives",80
"Comoro Islands",80
"Ghana",80
"Singapore",80
"Malta",79
"Seychelles",79
"Kerguelen Islands",79
"Morocco",79
"Djibouti",79
"Lithuania",79
"Heard and McDonald Islands",78
"United Arab Emirates",78
"Latvia",77
"Clipperton Island",77
"Algeria",77
"Mozambique",76
"Poland",76
"Sierra Leone",76
"Estonia",75
"Chile",75
"Somalia",75
"Micronesia",74
"Ireland",74
"Bahrain",74
"Canary Islands",73
"Western Sahara",73
"Monaco",73
"Peru",73
"Cape Verde",72
"Saudi Arabia",72
"Republique du Congo",72
"Sweden",72
"Senegal",72
"United Kingdom",71
"Saint Pierre and Miquelon",71
"Kiribati",70
"Finland",70
"Brunei",70
"Croatia",69
"Mauritius",69
"Yemen",69
"Greenland",68
"Eritrea",68
"Sudan",68
"Thailand",67
"Norway",67
"France",67
"Saint Helena",67
"Tonga",67
"Montenegro",67
"Gambia",66
"Faeroe Islands",66
"Italy",65
"Malaysia",65
"Turkey",65
"Germany",64
"Jan Mayen",64
"Denmark",64
"Greece",64
"Brazil",64
"Mauritania",64
"Bosnia and Herzegovina",64
"Guinea",64
"Belgium",63
"Tanzania",63
"Kenya",63
"Netherlands",62
"Gabon",62
"Albania",62
"Pakistan",62
"Romania",61
"Madeira",60
"French Polynesia",60
"Canada",60
"Iraq",60
"Libya",60
"Niue",59
"Costa Rica",59
"Iceland",59
"Benin",59
"Uruguay",59
"Tokelau",58
"Iran",58
"Tunisia",58
"Australia",57
"Portugal",57
"American Samoa",56
"Spain",56
"Guinea Bissau",56
"Madagascar",55
"Sao Tome and Principe",54
"North Korea",54
"Nicaragua",54
"Jarvis Island",53
"Pitcairn",53
"Johnston Atoll",53
"United States",53
"Turks and Caicos Islands",53
"Cameroon",53
"Liberia",53
"Palmyra Atoll",52
"Israel",52
"Macquarie Island",51
"Samoa",51
"Mexico",50
"Equatorial Guinea",50
"New Zealand",49
"South Africa",49
"Egypt",49
"India",49
"El Salvador",49
"Syria",49
"Cook Islands",48
"Cyprus",47
"Lebanon",47
"Ecuador",46
"Nigeria",46
"Ascension",45
"Norfolk Island",44
"Venezuela",44
"East Timor",44
"Azores",43
"Argentina",42
"Falkland Islands",40
"Kuwait",38
"China",37
"Barbados",36
"Honduras",35
"Namibia",35
"Sri Lanka",35
"Cocos Islands",34
"Tristan da Cunha",34
"Belize",34
"Christmas Island",31
"Russia",31
"Grenada",31
"Bouvet Island",30
"Democratic Republic of the Congo",30
"Japan",29
"South Georgia and the South Sandwich Islands",28
"Taiwan",28
"Colombia",28
"Puerto Rico and Virgin Islands of the United States",27
"Trinidad and Tobago",25
"Antigua and Barbuda",20
"Cuba",20
"Dominican Republic",19
"Northern Mariana Islands and Guam",18
"Bermuda",18
"French Guiana",16
"Andaman and Nicobar",16
"Angola",16
"Amsterdam Island and Saint Paul Island",13
"Saint Kitts and Nevis",12
"Saint Lucia",11
"Dominica",11
"British Virgin Islands",10
"Cayman Islands",8
"Wake Island",7
"Suriname",7
"Cambodia",7
"Sint Maarten",6
"Jordan",5
"Saint Vincent and the Grenadines",5
"Guadeloupe and Martinique",4
"Aruba",3
"Anguilla",3
"Guyana",3
"Vietnam",3
"Jamaica",3
"Bangladesh",2
"South Korea",2
"Myanmar",2
"Montserrat",1
"Haiti",1
"Phoenix Group",NA
"Northern Saint-Martin",NA
"Glorioso Islands",NA
"Curacao",NA
"Saba",NA
"Bonaire",NA
"Line Group",NA
"Sint Eustatius",NA
"Juan de Nova Island",NA
"Bassas da India",NA
"Ile Europa",NA
"Jersey",NA
"Oecussi Ambeno",NA
"Guernsey",NA
