"country","BD"
"Cyprus",97
"Heard and McDonald Islands",96
"Kerguelen Islands",96
"Saba",96
"Belgium",96
"Sint Eustatius",96
"Sint Maarten",96
"Georgia",96
"Macquarie Island",95
"Northern Saint-Martin",95
"Finland",95
"Israel",95
"Prince Edward Islands",94
"Norfolk Island",94
"Wallis and Futuna",94
"Estonia",94
"South Georgia and the South Sandwich Islands",94
"Croatia",94
"Denmark",94
"Bonaire",94
"Aruba",94
"Greece",94
"French Guiana",94
"Bulgaria",94
"Monaco",94
"Japan",94
"Slovenia",94
"Romania",94
"Albania",94
"Curacao",93
"British Indian Ocean Territory",93
"United Arab Emirates",93
"Pitcairn",93
"French Polynesia",93
"Qatar",93
"Gibraltar",93
"Egypt",93
"Russia",93
"Montserrat",93
"Sweden",93
"Saint Kitts and Nevis",93
"Sao Tome and Principe",93
"Saint Vincent and the Grenadines",93
"Glorioso Islands",92
"Australia",92
"Germany",92
"Malta",92
"Mayotte",92
"Cocos Islands",92
"Christmas Island",92
"Italy",92
"Tristan da Cunha",92
"Samoa",92
"Canada",92
"Ascension",92
"Saint Helena",92
"Brazil",92
"Clipperton Island",92
"Guatemala",92
"Guadeloupe and Martinique",92
"Bangladesh",92
"Suriname",92
"Montenegro",92
"Amsterdam Island and Saint Paul Island",92
"Syria",92
"Howland Island and Baker Island",91
"American Samoa",91
"Tuvalu",91
"Seychelles",91
"Crozet Islands",91
"Greenland",91
"Saint Pierre and Miquelon",91
"Tonga",91
"R_union",91
"Juan de Nova Island",91
"Kuwait",91
"Tunisia",91
"Namibia",91
"Taiwan",91
"South Korea",91
"Bassas da India",91
"Mauritania",91
"Falkland Islands",91
"Bouvet Island",91
"Lebanon",91
"Libya",91
"Phoenix Group",90
"Vanuatu",90
"Maldives",90
"Cape Verde",90
"Norway",90
"Nauru",90
"Djibouti",90
"Mauritius",90
"Portugal",90
"Mexico",90
"Ukraine",90
"Oman",90
"Puerto Rico and Virgin Islands of the United States",90
"Trinidad and Tobago",90
"Saudi Arabia",90
"Costa Rica",90
"Papua New Guinea",90
"Brunei",90
"Sri Lanka",90
"Guyana",90
"Turkey",90
"Palmyra Atoll",89
"Marshall Islands",89
"Mozambique",89
"United Kingdom",89
"Morocco",89
"South Africa",89
"Cayman Islands",89
"Turks and Caicos Islands",89
"Dominican Republic",89
"Micronesia",89
"Ile Tromelin",89
"Ile Europa",89
"Equatorial Guinea",89
"India",89
"Andaman and Nicobar",89
"North Korea",89
"Jarvis Island",88
"Madeira",88
"Bahamas",88
"Antigua and Barbuda",88
"Johnston Atoll",88
"Palau",88
"Netherlands",88
"Northern Mariana Islands and Guam",88
"New Zealand",88
"Line Group",88
"Chile",88
"Ecuador",88
"Western Sahara",88
"Honduras",88
"British Virgin Islands",88
"Anguilla",88
"New Caledonia",87
"Kiribati",87
"Azores",87
"France",87
"Iran",87
"Argentina",87
"Yemen",87
"Republique du Congo",87
"Faeroe Islands",87
"Ghana",87
"Eritrea",87
"Uruguay",87
"Bermuda",86
"Sudan",86
"Barbados",86
"El Salvador",86
"Myanmar",86
"Algeria",86
"Thailand",85
"Gambia",85
"Kenya",85
"Togo",85
"Comoro Islands",85
"Saint Lucia",85
"Cameroon",85
"Cambodia",85
"Vietnam",85
"Benin",85
"Tokelau",84
"Fiji",84
"Latvia",84
"Solomon Islands",84
"Malaysia",84
"Cook Islands",84
"Cuba",84
"Jersey",84
"Jordan",84
"Iraq",84
"Guernsey",84
"Madagascar",83
"Venezuela",83
"Bahrain",83
"Jamaica",83
"United States",82
"Ireland",82
"Niue",82
"Lithuania",82
"Philippines",82
"East Timor",82
"Haiti",82
"Angola",82
"Tanzania",81
"Indonesia",81
"Spain",81
"Oecussi Ambeno",81
"Wake Island",80
"Panama",80
"Peru",80
"Canary Islands",79
"China",79
"Grenada",79
"Poland",78
"Bosnia and Herzegovina",78
"Nicaragua",78
"Belize",76
"Colombia",76
"Singapore",76
"Somalia",76
"Guinea",76
"Liberia",75
"Ivory Coast",75
"Dominica",75
"Gabon",74
"Pakistan",74
"Guinea Bissau",74
"Nigeria",72
"Senegal",72
"Democratic Republic of the Congo",72
"Iceland",71
"Sierra Leone",71
"Jan Mayen",69
