"country","country.1"
"Prince Edward Islands","Prince Edward Islands"
"Howland Island and Baker Island","Howland Island and Baker Island"
"Macquarie Island","Macquarie Island"
"Heard and McDonald Islands","Heard and McDonald Islands"
"Phoenix Group","Phoenix Group"
"Northern Saint-Martin","Northern Saint-Martin"
"New Caledonia","New Caledonia"
"Glorioso Islands","Glorioso Islands"
"Jarvis Island","Jarvis Island"
"Australia","Australia"
"Palmyra Atoll","Palmyra Atoll"
"Germany","Germany"
"Curacao","Curacao"
"Norfolk Island","Norfolk Island"
"British Indian Ocean Territory","British Indian Ocean Territory"
"Madeira","Madeira"
"United Arab Emirates","United Arab Emirates"
"Malta","Malta"
"Bahamas","Bahamas"
"Pitcairn","Pitcairn"
"French Polynesia","French Polynesia"
"American Samoa","American Samoa"
"Wallis and Futuna","Wallis and Futuna"
"Marshall Islands","Marshall Islands"
"Mayotte","Mayotte"
"Estonia","Estonia"
"South Georgia and the South Sandwich Islands","South Georgia and the South Sandwich Islands"
"Antigua and Barbuda","Antigua and Barbuda"
"Cocos Islands","Cocos Islands"
"Christmas Island","Christmas Island"
"Vanuatu","Vanuatu"
"Tuvalu","Tuvalu"
"Seychelles","Seychelles"
"Maldives","Maldives"
"Johnston Atoll","Johnston Atoll"
"Italy","Italy"
"Kiribati","Kiribati"
"Palau","Palau"
"Azores","Azores"
"Crozet Islands","Crozet Islands"
"Kerguelen Islands","Kerguelen Islands"
"Croatia","Croatia"
"Saba","Saba"
"Thailand","Thailand"
"Jan Mayen","Jan Mayen"
"Denmark","Denmark"
"Netherlands","Netherlands"
"Qatar","Qatar"
"Mozambique","Mozambique"
"Gibraltar","Gibraltar"
"Tristan da Cunha","Tristan da Cunha"
"Greenland","Greenland"
"Samoa","Samoa"
"Tokelau","Tokelau"
"United Kingdom","United Kingdom"
"Bonaire","Bonaire"
"Aruba","Aruba"
"Northern Mariana Islands and Guam","Northern Mariana Islands and Guam"
"Fiji","Fiji"
"Cape Verde","Cape Verde"
"Canary Islands","Canary Islands"
"Morocco","Morocco"
"Gambia","Gambia"
"Latvia","Latvia"
"New Zealand","New Zealand"
"Norway","Norway"
"Nauru","Nauru"
"Djibouti","Djibouti"
"Belgium","Belgium"
"South Africa","South Africa"
"Line Group","Line Group"
"Finland","Finland"
"Canada","Canada"
"Saint Pierre and Miquelon","Saint Pierre and Miquelon"
"Chile","Chile"
"Wake Island","Wake Island"
"Mauritius","Mauritius"
"Greece","Greece"
"Cayman Islands","Cayman Islands"
"Ecuador","Ecuador"
"United States","United States"
"France","France"
"Portugal","Portugal"
"Tanzania","Tanzania"
"Egypt","Egypt"
"Sint Eustatius","Sint Eustatius"
"Solomon Islands","Solomon Islands"
"Western Sahara","Western Sahara"
"Ascension","Ascension"
"Saint Helena","Saint Helena"
"Turks and Caicos Islands","Turks and Caicos Islands"
"Dominican Republic","Dominican Republic"
"Mexico","Mexico"
"Iran","Iran"
"Micronesia","Micronesia"
"Russia","Russia"
"Ukraine","Ukraine"
"Tonga","Tonga"
"French Guiana","French Guiana"
"Brazil","Brazil"
"Argentina","Argentina"
"Ireland","Ireland"
"Malaysia","Malaysia"
"R_union","R_union"
"Juan de Nova Island","Juan de Nova Island"
"Ile Tromelin","Ile Tromelin"
"Oman","Oman"
"Kuwait","Kuwait"
"Bulgaria","Bulgaria"
"Clipperton Island","Clipperton Island"
"Puerto Rico and Virgin Islands of the United States","Puerto Rico and Virgin Islands of the United States"
"Montserrat","Montserrat"
"Trinidad and Tobago","Trinidad and Tobago"
"Guatemala","Guatemala"
"Guadeloupe and Martinique","Guadeloupe and Martinique"
"Niue","Niue"
"Monaco","Monaco"
"Japan","Japan"
"Indonesia","Indonesia"
"Kenya","Kenya"
"Yemen","Yemen"
"Saudi Arabia","Saudi Arabia"
"Republique du Congo","Republique du Congo"
"Panama","Panama"
"Costa Rica","Costa Rica"
"Honduras","Honduras"
"Bangladesh","Bangladesh"
"Sint Maarten","Sint Maarten"
"Sweden","Sweden"
"Tunisia","Tunisia"
"Togo","Togo"
"Namibia","Namibia"
"Bermuda","Bermuda"
"Cook Islands","Cook Islands"
"Belize","Belize"
"Spain","Spain"
"Slovenia","Slovenia"
"Taiwan","Taiwan"
"Papua New Guinea","Papua New Guinea"
"South Korea","South Korea"
"Bassas da India","Bassas da India"
"Ile Europa","Ile Europa"
"Georgia","Georgia"
"Equatorial Guinea","Equatorial Guinea"
"Cuba","Cuba"
"Poland","Poland"
"Lithuania","Lithuania"
"India","India"
"China","China"
"Madagascar","Madagascar"
"Mauritania","Mauritania"
"Israel","Israel"
"Falkland Islands","Falkland Islands"
"British Virgin Islands","British Virgin Islands"
"Anguilla","Anguilla"
"Faeroe Islands","Faeroe Islands"
"Brunei","Brunei"
"Comoro Islands","Comoro Islands"
"Ghana","Ghana"
"Saint Kitts and Nevis","Saint Kitts and Nevis"
"Saint Lucia","Saint Lucia"
"Iceland","Iceland"
"Suriname","Suriname"
"Andaman and Nicobar","Andaman and Nicobar"
"Eritrea","Eritrea"
"Bouvet Island","Bouvet Island"
"Colombia","Colombia"
"Cameroon","Cameroon"
"Philippines","Philippines"
"Cambodia","Cambodia"
"Sri Lanka","Sri Lanka"
"Romania","Romania"
"Venezuela","Venezuela"
"Guyana","Guyana"
"Gabon","Gabon"
"Vietnam","Vietnam"
"Singapore","Singapore"
"Jersey","Jersey"
"East Timor","East Timor"
"Oecussi Ambeno","Oecussi Ambeno"
"Bahrain","Bahrain"
"Benin","Benin"
"Jordan","Jordan"
"Sudan","Sudan"
