"region_name","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"Global average",0,70.95,76.68,79.09,81.58,84.06,82.56,80.99,68.77,86.33,80.79,75.25,54.82,51.19,5.66,65.46,61.24,57.02,78.68,47.36
"Macquarie Island",4,94.32,,80.05,90.02,100,100,,97.4,,,,100,100,,68.36,84.18,100,,
"Howland Island and Baker Island",158,91.38,,75.94,87.56,99.18,99.18,,95.86,,,,89.13,89.13,,70.3,85.15,100,,
"Ile Europa",35,89.59,,77.23,87.19,97.16,92.25,100,87.56,,,,96.4,96.4,,48.28,74.14,100,,
"Jarvis Island",149,85.36,,74.44,85.83,97.23,95.45,,96.76,,,,63.6,63.6,,70.3,85.15,100,,
"Northern Saint-Martin",221,84.1,77.17,88.31,91.3,94.29,92.18,100,56.81,80.34,88.35,96.36,48.85,48.85,0,72.61,86.31,100,100,100
"Sint Maarten",220,83.8,92.57,86.88,93.44,100,100,100,47.9,80.07,88.22,96.36,72.95,72.95,0,73.36,59.08,44.8,,100
"New Zealand",162,83.57,80.75,77.65,85.61,93.56,99.93,96.07,76.29,100,100,100,61.79,51.76,2.29,54.77,58.23,61.69,97.36,89.66
"Seychelles",31,83.37,87.67,80.08,83.72,87.36,80.9,99.96,84.8,65.65,82.82,100,57.54,57.54,0,60.23,56.73,53.23,99.62,100
"Heard and McDonald Islands",94,82.57,,81.81,90.91,100,,,99.43,,,,54.46,54.46,,68.3,84.15,100,83.89,
"Bahamas",110,81.94,86.08,82.94,78.27,73.6,61.29,84.03,62.35,94.62,81.12,67.61,84.91,84.91,0,70.68,81.37,92.06,100,100
"Saba",248,81.93,87.85,85.53,92.77,100,100,100,66.78,75.24,68.81,62.37,35.44,35.44,0,71.45,85.72,100,,100
"Antigua and Barbuda",120,80.99,100,80.64,78.92,77.19,75.05,98.82,58.41,83.4,91.7,100,55.43,55.43,0,72.91,84.44,95.96,67.12,100
"Oman",48,80.71,98.47,82.05,83.64,85.23,95.48,99.12,77.59,100,100,100,55.58,55.52,0.01,64,58.1,52.2,98.09,41.08
"Prince Edward Islands",90,80.54,,78.48,80.03,81.58,63.68,,88.34,,,,91.75,91.75,,57.85,78.93,100,,
"Sint Eustatius",249,80.35,87.85,86.44,93.22,100,100,100,55.46,75.24,68.81,62.37,35.44,35.44,0,71.45,82.42,93.38,,100
"Mayotte",29,79.76,79.13,80.89,89.08,97.26,95.67,100,55.7,100,100,100,72.42,69.78,0.13,62.68,81.17,99.67,67.15,59.93
"United Arab Emirates",54,79.64,99.99,85.27,88.22,91.18,80.94,87.53,64.39,99,99.5,100,74.13,73.73,0.1,67.27,69.05,70.82,88.14,44.92
"Turks and Caicos Islands",111,79.51,87.27,79.41,74.4,69.39,73.8,84.34,61.08,90.93,90.49,90.05,91.79,91.79,0,73.07,64.83,56.6,67.12,100
"Juan de Nova Island",33,79.46,,79.5,87.58,95.66,88.22,,86.08,95.29,94.34,93.4,96.4,96.4,,48.28,24.14,0,,
"Sao Tome and Principe",103,79.45,83.43,75.6,87.8,100,99.54,99.54,52.57,100,100,100,46.84,46.84,0,64.87,47.2,29.52,77.66,99.98
"Madeira",57,79.28,85.27,75.42,87.33,99.24,,,66.15,91.27,79.83,68.4,72.1,72.1,0,66.83,83.41,100,89.66,70.5
"South Georgia and the South Sandwich Islands",89,78.82,,80.39,86.9,93.42,,,97.27,,,,61.62,61.62,,61.12,80.56,100,67.76,
"Bonaire",245,78.38,79.23,81.34,77.57,73.8,97.44,66.06,72.01,75.24,68.81,62.37,53.06,53.06,,71.45,85.72,100,83.9,100
"Aruba",250,78.24,92.37,81.64,83.61,85.58,99.36,96.67,59.83,100,100,100,47.37,47.37,,77.47,44.27,11.07,58.87,100
"Tuvalu",19,78.09,81.21,75.39,87.69,99.99,100,100,51.89,100,100,100,89.3,89.3,0,61.94,32.78,3.62,67.12,70.94
"Qatar",190,77.13,95.07,84.84,88.18,91.52,98.63,98.57,68.11,77.8,65.21,52.61,63.95,63.95,0,71.75,75.4,79.06,67.12,51.12
"Phoenix Islands (Kiribati)",157,77.1,48.71,75.19,87.1,99,99,,94.64,64.17,68.89,73.61,83.67,83.67,0,66.99,83.5,100,67.12,61.27
"Palau",8,76.75,74.1,76.4,84.2,91.99,88.64,71.68,75.52,100,81.8,63.6,93.26,93.18,0.04,61.81,80.9,100,55.24,62.28
"Palmyra Atoll",150,76.69,,73.95,80.12,86.28,73.56,,92,,,,52.65,52.65,,70.3,85.15,100,,
"Estonia",70,76.34,90.88,92.27,81.82,71.38,62.67,55.8,65.36,100,73.81,47.62,92.52,92.52,0,90.76,95.38,100,99.95,45.17
"Bassas da India",34,76.3,,77.24,86.45,95.66,88.22,,86.3,,,,96.4,96.4,,48.28,24.14,0,,
"Greenland",145,76.14,85.39,81.18,76.37,71.56,85.34,74.62,88.07,99.67,99.83,100,55.11,55.11,0,60.75,79.76,98.77,76.93,39.96
"Kerguelen Islands",93,76.11,,80.4,90.16,99.93,,,96.79,,,,43.36,43.36,,48.28,74.14,100,,
"Azores",55,75.79,75.24,71.54,85.77,100,100,,65.63,100,84.2,68.4,58.34,58.34,0,66.83,64.56,62.29,77.87,70.5
"Panama",129,75.77,66.79,81.49,85.67,89.85,90.57,96.18,65.32,100,100,100,41.92,34.72,0.75,65.93,73.28,80.62,100,45.17
"Clipperton Island",107,75.69,,70.6,85.3,100,100,,83.35,,,,76.42,76.42,,66.72,33.36,0,,
"Gambia",65,75.64,92.44,78.13,76.58,75.03,88.32,88.77,48.84,100,100,100,25.22,25.21,0.01,73.06,73.55,74.04,99.53,63.14
"Oecussi Ambeno",237,75.55,81.17,85.16,92.28,99.4,100,99.38,63.13,89.28,75.75,62.22,63.92,63.92,0,70.24,52.35,34.46,,51.93
"New Caledonia",5,75.49,81.9,82.07,84.98,87.89,70.81,69.77,82.08,84.65,92.32,100,63.96,56.24,0.15,63.66,76.52,89.38,67.53,72.8
"Sweden",222,75.44,95.51,90.8,79.35,67.89,61.51,61.82,61.55,100,100,100,76.82,77.55,89.48,85.85,79.13,72.4,99.81,38.14
"Marshall Islands",11,75.19,100,76.79,87.78,98.77,95.73,100,36.33,38.39,56,73.61,74.06,74.06,0,66.23,52.34,38.45,90.35,59.36
"French Polynesia",147,75.14,79.78,75.76,87.88,100,100,100,77.14,42.27,71.13,100,56.63,53.06,0.63,63.95,31.98,0,76.52,73.89
"United States",163,75.04,90.11,78.56,76.6,74.64,79.19,75.23,75.06,99.91,75.7,51.49,77.61,74.38,1.1,63.46,72.49,81.52,95.73,35.86
"Uruguay",173,75.04,96.81,69.33,67.71,66.09,59.57,81.91,61.72,100,100,100,36.12,36.12,0,65.56,82.06,98.57,100,64.51
"Glorioso Islands",30,74.98,,80.93,88.29,95.66,88.22,,86.21,95.29,94.34,93.4,18.65,18.65,,48.28,74.14,100,,
"Kuwait",51,74.85,88.43,84.75,86.1,87.46,99.38,95.82,65.71,100,100,100,42,41.92,0.01,65,72.56,80.12,,23.75
"Finland",174,74.66,91.54,92.89,80,67.1,62.58,73.96,72.78,100,82.24,64.48,84.5,85.9,88.11,92.18,86.21,80.24,86.08,25.31
"Comoro Islands",28,74.54,87.48,80.45,84.92,89.39,91.7,99.98,43.69,92.67,91.6,90.54,72.78,72.78,0,63.11,69.35,75.59,71.67,32.26
"Mexico",135,74.48,84.37,77.32,85.52,93.71,91.93,93.45,65.63,100,72.14,44.29,31.05,28.4,0.07,61.39,80.69,100,74.9,67.72
"Puerto Rico and Virgin Islands of the United States",116,74.46,78.38,81.41,78.01,74.61,83.28,95.9,58.48,86.76,69.69,52.61,38.96,38.96,0,74.14,75.18,76.22,67.65,99.03
"Belize",164,74.42,85.1,85.35,74.14,62.93,61.78,96.48,66,100,100,100,59.91,35.67,2.7,69.76,84.88,100,41.76,98.42
"Djibouti",46,74.41,89.45,89.05,91.94,94.83,99.18,98.76,56.54,100,96.7,93.4,43.9,43.9,0,70.51,35.26,0,,57.96
"Dominica",123,74.4,53.56,82.25,82.61,82.98,96.89,100,59.64,86.61,79.9,73.2,45.31,45.31,0,78.32,44.69,11.06,81.42,100
"Latvia",69,74.33,89.21,92.06,78.74,65.41,62.27,36.56,55.48,100,89.5,79,91.32,91.32,0,91.52,95.76,100,99.98,44.51
"Bahrain",52,74.26,91.87,84.72,85.82,86.93,94.12,99.9,58.26,74.7,81.28,87.87,27.32,27.32,0.01,63.12,31.56,0,99.82,72.69
"British Indian Ocean Territory",38,74.12,86.46,79.75,87.46,95.17,100,70.75,85.68,93.96,73.33,52.71,40.03,40.03,0,66.61,83.31,100,,40.04
"Cape Verde",56,74.07,89.6,76.62,88.31,100,,,61.9,99,99.5,100,67.83,67.83,0,68.34,34.98,1.62,50.42,100
"American Samoa",151,74.04,62.19,75.46,86.48,97.5,99.76,100,55.92,66.5,82.62,98.74,35.55,35.55,0,62.95,65.44,67.94,80.69,71.77
"Ile Tromelin",36,73.99,,74.91,81.56,88.22,88.22,,85.82,,,,90.21,90.21,,48.28,24.14,0,,
"Venezuela",139,73.87,69.37,82.77,85.09,87.4,95.6,99.61,63.03,96.9,83.86,70.82,45.29,40.13,0.45,71.26,84.29,97.33,95.17,22.49
"Curacao",244,73.68,76.96,80.76,77.23,73.7,100,50.65,66.36,75.24,68.81,62.37,53.87,53.87,,70.56,58.99,47.42,83.9,100
"Wallis and Futuna",161,73.67,63.47,76.32,88.16,100,100,,76.08,66.5,77.89,89.28,66.97,66.97,0,71.58,35.79,0,83.9,70.77
"Anguilla",118,73.51,88.72,79.71,82.32,84.94,57.03,100,60.4,80.34,58.01,35.69,63.18,63.18,0,77.14,56.62,36.11,68.78,100
"Montserrat",121,73.35,66.34,84.89,84.87,84.84,75.84,100,64.71,79.8,88.08,96.36,28.09,28.09,0,78.77,39.39,0,86.22,100
"Grenada",125,73.23,64.47,84.51,78.19,71.88,58.13,92.83,61.46,67.74,83.87,100,55.66,55.66,0,69.51,39.31,9.11,98.38,100
"Australia",16,73.17,73.46,84.84,80.64,76.43,68.81,71.11,76.67,100,95.62,91.24,47.04,32.66,0.15,80.49,90.25,100,93.39,49.11
"France",179,73.01,79.34,76.39,71.29,66.18,98.21,81.79,51.64,100,79.41,58.83,66.68,58.19,44.63,66.69,83.02,99.35,81.5,45.72
"Greece",80,72.92,66.91,68.28,65.69,63.1,92,63.58,59.76,63.02,61.38,59.75,44.76,54.48,61.27,70.87,83.96,97.05,81.82,99.59
"Germany",176,72.89,74.58,83.81,71.39,58.97,62.01,90.98,54.31,100,89.31,78.62,27.58,30.32,73.86,84.74,92.37,100,91.32,72.33
"Norway",223,72.86,97.8,77.51,69.01,60.5,59.07,58.33,73.37,70.77,74.54,78.31,77.53,64.74,48.83,62.09,70.18,78.28,90.56,71.04
"Fiji",18,72.83,63.81,79.89,85.48,91.07,98.02,81.17,78.92,77.73,64.94,52.16,47.12,47.05,0.01,59.44,58.39,57.33,50.53,100
"Brazil",171,72.75,75.73,76.21,82.65,89.1,96.5,99.96,61.83,100,79.47,58.95,46.28,38.53,0.48,66.9,79,91.09,89.58,24.21
"Tonga",155,72.63,43.07,76.85,87.06,97.26,97.73,99.97,66.29,99.58,99.79,100,31.67,31.04,0.14,64.79,47,29.22,83.04,71.3
"Canada",218,72.59,64.27,81.01,83.68,86.35,97.48,86.64,88.47,100,87.11,74.22,52.57,42.4,1.3,59.11,42.3,25.49,93.78,39.72
"Saint Vincent and the Grenadines",127,72.58,85.83,83.66,87.36,91.06,70.4,100,60.34,20.76,25.46,30.16,58.63,58.63,0,76.42,52.57,28.72,86.23,98.95
"Samoa",152,72.48,81.53,78.13,79.89,81.65,99.96,99.97,80.73,76.41,39.88,3.34,68.8,68.8,0,66.86,34.23,1.6,68.38,71.44
"Russia",73,72.44,75.9,82.35,80.56,78.77,85.12,74.69,66.17,99.33,92.78,86.22,70.89,70.73,0.95,75.7,72.73,69.76,95.59,10.1
"Portugal",183,72.41,57.54,75.44,72.88,70.33,99.12,84.13,54.31,100,93.38,86.76,44.95,43.14,28.7,63.44,81.72,100,60.13,77.69
"Crozet Islands",91,72.3,,78.56,71.12,63.68,63.68,,84.65,,,,67.93,67.93,,48.28,74.14,100,,
"Honduras",133,72.27,90.8,84.35,86.38,88.41,82.72,87.65,58.41,100,94,88.01,65.53,27,1.88,70.29,85.14,100,78.91,31.68
"Saint Kitts and Nevis",119,72.15,80.57,86.11,89.18,92.25,79.84,100,60.36,77.65,55.67,33.69,30.58,30.58,0,72.09,42.5,12.92,82.82,100
"Senegal",66,72.08,86.51,77.4,75.76,74.12,87.6,92.71,46.57,97.99,99,100,28.97,28.96,0.03,70.02,82.63,95.23,92.94,28.07
"Tanzania",202,72.04,97.5,84,81.86,79.73,66.03,81.48,49.01,100,100,100,62.6,53.68,4.02,64.08,82.04,100,77.52,31.22
"Sierra Leone",96,72.01,97.77,76.71,87.21,97.71,98.88,99.39,44.06,98.28,76.2,54.12,26.87,26.87,0,66.95,83.47,100,96.87,9.35
"Cambodia",24,71.86,86.55,87.61,86.41,85.21,69.86,67.78,54.11,100,74.73,49.47,59.48,58.88,0.35,61.31,61.01,60.7,59.22,100
"Canary Islands",58,71.63,78.39,77.14,77.22,77.3,66.08,64.93,64.57,46.37,57.38,68.4,67.72,67.72,0,66.83,83.41,100,86.09,70.5
"Saudi Arabia",50,71.59,95.54,86.48,83.33,80.18,71.28,70.31,68.67,100,100,100,49.64,45.24,0.76,64.08,52.46,40.85,86.63,42.43
"United Kingdom",180,71.54,85.71,79.5,73.51,67.52,62.44,84.04,62.66,93.17,88.59,84,55.43,48.88,13.84,59.3,75.93,92.56,86.58,47.03
"Barbados",124,71.39,74.69,79.48,89.74,100,100,100,63.09,68.46,67.48,66.5,19.14,19.14,0,72.09,40.08,8.07,,88.26
"Spain",182,71.23,71.57,71.96,70.14,68.32,97.62,71.76,51.44,100,77.21,54.42,54.59,69.31,86.4,69.01,84.51,100,72.71,46.05
"Cayman Islands",113,71.18,82.18,79.39,79.6,79.82,56.07,80.58,52.85,99.67,99.83,100,45.95,45.95,0,69.63,49.69,29.74,,93.85
"Guadeloupe and Martinique",140,71.18,77.75,81.83,88.66,95.48,94.01,100,69.11,30.39,62.79,95.19,19.61,19.55,0.09,73.39,86.69,100,84.26,29
"Tokelau",156,71.15,58.32,74.96,87.48,100,85.71,100,65.61,66.5,77.89,89.28,66.38,66.38,0,63.37,31.68,0,67.12,71.29
"R_union",32,71,82.46,75.48,85.93,96.38,88.22,100,67.11,79.24,67.54,55.84,60.28,59.44,0.71,65.61,41.69,17.76,,46.66
"Iceland",143,70.97,88.8,79.13,64.89,50.65,62.24,74.62,79.1,38.39,61.71,85.03,49.45,48.99,0.71,66.61,52.13,37.65,99.98,77.27
"Christmas Island",2,70.78,74.4,75.64,83.2,90.77,71.99,70.07,74.42,100,96.35,92.7,40.72,40.72,0,68.3,59.24,50.17,67.12,70.26
"Bouvet Island",105,70.69,,80.1,89.98,99.85,,,97.82,,,,8.26,8.26,,73.39,86.69,100,,
"Liberia",97,70.68,70.33,76.31,87.79,99.27,99.28,99.7,49.43,100,100,100,18.58,18.58,0,70.25,55.49,40.73,93.46,32.77
"Malta",68,70.48,73.09,64.74,69.97,75.2,72.03,64.36,40.93,100,86.67,73.33,40.41,49.99,58.19,65.09,63.74,62.4,83.99,100
"Ecuador",137,70.45,77.51,74.73,76.97,79.21,75.53,73.62,67.53,99.67,99.83,100,42.36,34.77,26.15,62.98,81.49,100,99.69,17.57
"Croatia",187,70.4,81.62,74.46,57.07,39.68,64.88,63.78,64.97,100,78.56,57.12,27.66,27.18,25.9,65.21,82.05,98.9,99.06,84.84
"Jordan",215,70.28,66.57,89.48,89.63,89.78,87.43,75.47,59.95,100,87.72,75.45,43.2,43.2,0,83.22,51.47,19.72,83.52,57.79
"Chile",224,70.18,62.1,74.97,76.14,77.31,51.66,99.45,90.82,96.32,98.16,100,51.12,29.37,11.01,63.67,79.41,95.16,82.5,32.17
"Andaman and Nicobar",26,70.13,84.26,80.97,86.69,92.4,92.37,77.3,61.5,89.28,75.82,62.37,46.97,46.97,0,65.85,32.92,0,90.51,52.98
"Mauritania",64,70.11,75.19,78.02,81.45,84.89,61.92,99.92,62.38,91.37,93.89,96.41,14.55,14.55,0,68.26,84.13,100,94.86,32.79
"Guinea Bissau",193,70,75.95,76.16,84.32,92.49,99.74,99.88,57.01,25.58,60.99,96.41,19.92,19.92,0,70.55,85.27,100,84.68,32.22
"Slovenia",188,69.97,68.36,80.63,67.79,54.96,98.9,70.93,28.95,100,100,100,63.88,74.13,82.57,67.23,57.87,48.51,94.42,38.4
"Maldives",39,69.89,90,80.82,82.74,84.66,93.91,70.79,24.4,39.64,69.82,100,86.33,86.33,0,66.44,35.24,4.03,46.43,99.27
"Vanuatu",6,69.82,61.99,81.59,80.73,79.88,87.12,71.68,70.38,100,100,100,48.24,48.18,0.02,60.48,30.76,1.04,47.4,100
"French Guiana",169,69.81,70.07,79.77,85.03,90.29,100,100,78.71,29.78,44.01,58.24,25.03,25.03,0,77.19,88.59,100,81.33,25.33
"Thailand",25,69.72,86.15,87.13,88.42,89.71,85.25,81.76,58,100,85.03,70.06,57.64,31.58,1.92,58.46,56.94,55.43,71.05,53.02
"Solomon Islands",7,69.65,80.88,81.33,82.44,83.56,78.5,75.7,66.17,100,100,100,88.5,88.47,0.03,60.41,33.63,6.85,63.37,27.35
"Western Sahara",63,69.49,75.07,77.25,85.61,93.97,100,99.97,65.26,100,97.21,94.42,13.29,13.29,0,69.09,34.55,0,93.89,30.1
"Jan Mayen",144,69.47,,76.54,60.85,45.15,62.22,,85.16,81.55,83.65,85.75,10.39,10.39,,68.02,84.01,100,100,
"Italy",184,69.41,69.46,67.46,66.24,65.02,72.26,66.71,51.95,100,85.62,71.23,45.91,58.06,84.32,70.87,77.8,84.72,78.97,66.99
"Georgia",74,69.29,24.33,85,84.04,83.09,74.62,74.62,56.53,100,99.53,99.06,67.36,67.36,0,67.34,44.6,21.86,99.68,67.56
"British Virgin Islands",117,69.23,82.54,79.63,73.83,68.02,54.63,89.6,56.58,76.3,69.96,63.62,54.75,54.75,,73.34,43.32,13.3,67.12,100
"Kenya",43,69.12,99.37,84.65,83.74,82.83,79.75,94.26,49.93,100,98.96,97.92,35.47,35.39,0.01,63.38,51.23,39.09,72.59,25.96
"Mozambique",41,69.01,72.62,84.92,83.33,81.75,73.59,80.38,55.94,100,100,100,42.01,41.96,0.01,65.02,77.69,90.36,67.08,37.51
"Somalia",44,68.65,99.19,80.73,76.46,72.19,55.59,84.18,61.5,96.41,94.9,93.4,39.6,39.6,0,65.19,32.61,0.04,87.41,55.09
"Malaysia",206,68.4,68.1,84.92,86.6,88.28,82.4,78.67,62.57,68.36,77.8,87.24,56.97,52.74,1.56,63.74,48.26,32.78,78.73,48.09
"Saint Lucia",122,68.33,78.04,84.71,87.4,90.09,73.8,98.29,55.11,68.93,57.16,45.39,37.21,37.18,0.04,77.92,48.48,19.03,47.89,100
"Guinea",194,68.26,80.22,76.36,86.23,96.09,96.69,98.4,46.99,97.03,79.34,61.65,14.16,14.16,0,65.71,72.43,79.15,95.33,12.82
"Bangladesh",204,68.21,61.77,82.9,89.6,96.31,99.83,100,35.34,100,100,100,28.94,23.72,4.73,64.44,61.85,59.26,97.08,12.86
"Cocos Islands",1,68.04,74.4,74.42,82.59,90.77,92.51,70.07,75.86,100,96.35,92.7,16.56,16.56,0,69.36,34.68,0,67.12,70.26
"Trinidad and Tobago",126,67.93,61.76,84.58,89.52,94.46,93.47,99.93,62.82,77.76,82.96,88.17,31.58,31.58,0,71.26,46.88,22.51,80.6,29.78
"Mauritius",37,67.75,78.52,76.36,83.18,90,86.72,99.71,65.48,66.42,68.2,69.99,43.34,41.92,0.05,58.1,34.26,10.41,58.62,60.93
"Lithuania",189,67.73,90.88,92.29,75.34,58.4,62.72,23.45,47.69,100,76.21,52.42,86.83,86.83,0,91.52,95.76,100,100,18.44
"Romania",72,67.69,69.68,87.83,81.74,75.64,74.62,74.62,58.21,100,88.77,77.53,29.29,29.02,0.09,83.64,91.82,100,85.24,23.23
"Ascension",85,67.63,78.41,74.75,87.37,100,,,80.8,81.55,83.65,85.75,75.52,75.52,0,64.83,49.29,33.75,49.18,36.85
"Nauru",10,67.61,70.87,74.5,85.86,97.23,95.45,,24.15,69.53,71.57,73.61,97.56,97.56,,68.26,34.13,0,,61.3
"Ireland",181,67.58,84.28,76.94,70.05,63.16,63.05,75.59,61.87,100,77.3,54.6,78.28,66.64,4.52,62.29,67.21,72.14,89.47,20.38
"Philippines",15,67.43,85.37,85.79,83.28,80.77,93.05,74.95,52.28,45.52,43.94,42.36,26.69,22.7,10.51,63.84,46.16,28.49,72.54,100
"Jersey",227,67.2,90.04,81.63,71.48,61.34,62.9,98.86,50.3,81.55,83.65,85.75,63.29,63.29,0,63.82,63.04,62.27,47.13,41.32
"Yemen",47,67.16,97.96,83.08,88.23,93.37,71.58,68.65,53.8,96.86,98.43,100,57.84,57.82,0.01,62.31,31.17,0.04,98.64,5.36
"Algeria",84,67.11,75.2,65.73,73.42,81.1,99,65.39,44.38,100,100,100,63.84,63.63,1.24,66.65,38.25,9.85,87.23,24.61
"Albania",82,66.84,48.48,72.62,72.68,72.75,73.44,71.24,57.41,100,100,100,17.68,14.62,11.91,67.24,68.2,69.17,95.19,67.14
"Myanmar",205,66.84,77,85.25,88.8,92.36,91.23,88.12,50.78,93.28,96.64,100,29.73,28.5,0.93,59.85,34.52,9.19,86.61,26.15
"Turkey",76,66.83,84.49,76.91,73.59,70.28,69.63,80.38,54.28,100,100,100,57.13,57.49,58.56,65.25,35.81,6.37,99.21,13.4
"Cook Islands",153,66.75,79.76,74.97,79.93,84.89,85.7,74.62,82.75,54.94,44.46,33.98,31.8,31.8,0.04,65.82,33.31,0.8,81.32,73.82
"Norfolk Island",3,66.64,42.3,76.12,88.06,100,100,,69.88,100,96.35,92.7,9.84,9.84,0,68.95,42.57,16.18,80.46,70.26
"Saint Pierre and Miquelon",219,66.62,91.52,78.52,81.34,84.16,,68.69,79.95,58.62,79.26,99.9,82.37,82.37,,62.79,37.01,11.23,42.18,37.23
"Iran",191,66.59,72.15,84.58,83.49,82.4,71.29,79.49,66.33,59.87,79.93,100,47.74,46.41,3.52,62.67,62.55,62.44,87,17.23
"Line Islands (Kiribati)",148,66.52,48.71,74.43,86.72,99,99,,82.15,64.17,68.89,73.61,51.37,51.37,0,66.99,33.5,0,67.12,61.27
"Namibia",101,66.47,28.75,75.31,81.2,87.1,100,60.34,80.38,49.27,74.63,100,19.29,19.26,0.01,61.19,80.59,100,86.78,52.72
"Jamaica",166,66.33,40.12,81.75,74.89,68.02,79.18,99.58,46.36,84.45,76.18,67.91,33.62,33.56,0.03,68.49,80.99,93.49,59.01,73.47
"Nigeria",196,66.2,81.83,76.25,87.22,98.19,92.05,96.86,39.16,52.29,76.14,100,48.77,48.77,0,71.19,40.02,8.84,89.46,10.49
"Micronesia",9,66.05,76.5,75.92,83.39,90.86,92.76,71.78,55.79,45.36,59.48,73.61,80.47,80.47,0,62.93,33.09,3.24,47.75,59.46
"South Africa",102,65.88,57.19,77.66,76.92,76.19,57.75,69.33,58.66,100,100,100,74.21,73.53,0.08,68.69,69.33,69.98,61.67,34.42
"Ghana",106,65.88,72.53,75.08,82.72,90.36,100,99.88,35.71,98.32,93.84,89.35,50.3,50.3,0,72.23,37.48,2.73,71.49,14.9
"Gabon",198,65.84,75.6,76.59,77.28,77.97,82.24,81.18,64.48,78.75,58.34,37.93,41.09,41.09,0,73.05,74.14,75.24,96.94,7.11
"Denmark",175,65.83,80.75,84.54,74.48,64.42,61.79,70.07,54.06,65.68,66.22,66.77,34.15,38,87.6,85.45,92.73,100,92.72,27.48
"Wake Island",12,65.82,,73.68,73.62,73.56,73.56,,70.83,64.17,68.89,73.61,21.56,21.56,,70.3,85.15,100,67.12,
"Bermuda",108,65.75,88.71,72.56,79.87,87.19,51.18,98.26,50.38,50.8,56.12,61.45,59.29,59.29,0,64.66,33.57,2.49,68.83,71.23
"Haiti",114,65.73,75.56,81.12,75.42,69.71,67.17,94.54,40.51,94.28,97.14,100,34.59,34.59,0,70.37,66.46,62.56,79.71,26.17
"Cameroon",197,65.65,69.79,78.64,82.79,86.94,73.51,76.25,34.11,98.94,76.03,53.11,51.68,51.68,0,70.31,72.31,74.31,98,22.01
"Vietnam",207,65.44,82.64,85.75,84.45,83.14,75.25,73.67,46,85.23,74.01,62.79,57.92,46.77,6.67,68.17,75.55,82.93,61.45,34.58
"Guatemala",136,65.41,60.17,77.69,72.53,67.37,99.79,92.73,33.21,100,100,100,37.64,30.22,7.92,71.19,79.3,87.4,67.44,18.69
"Indonesia",216,65.4,94.92,84.67,86.14,87.6,80.85,73.95,58.7,98.46,70.42,42.39,42.51,31.81,4.27,66.36,60.64,54.91,63.49,33.04
"Suriname",168,65.39,68.59,80.44,85.36,90.28,72.42,83.4,77.81,72.73,84.46,96.2,48.07,48.01,0,75.19,87.6,100,33.81,12.39
"Cuba",112,65.37,79.36,83.68,78.65,73.62,62.58,91.77,62.47,87.05,91.82,96.6,47.97,40.09,0.23,70.01,84.82,99.63,44.64,17.45
"Cyprus",81,65.21,72.94,62.63,72.05,81.46,71.65,74.2,58.64,64.67,63.18,61.69,64.25,42.58,31.11,65.74,52.59,39.45,77.07,67.2
"Nicaragua",131,65.19,92.02,84.74,87.1,89.47,94.62,97.51,63.27,100,78.8,57.59,53.19,29.58,0.56,65.86,82.93,100,0.96,25.11
"Egypt",214,65.15,68.22,77.03,80.01,82.99,89.74,71.96,53.38,100,97.83,95.67,32.13,24.26,18.67,66.82,68.04,69.26,69.59,28.46
"Morocco",62,65.14,80.94,76.74,74.62,72.5,100,33.23,54.81,100,100,100,16.65,16.64,0.03,68.82,74.32,79.83,62.69,54.14
