region_id,region_name,AO,BD,CP,CS,CW,ECO,FIS,FP,HAB,ICO,Index,LE,LIV,LSP,MAR,NP,SP,SPP,TR
4,Macquarie Island,NA,88.23,100,NA,97.76454545454546,NA,100,100,96.07545454545455,65.88545454545455,93.78727272727272,NA,NA,100,NA,NA,82.94363636363636,80.38454545454546,NA
158,Howland Island and Baker Island,NA,87.37363636363636,99.18,NA,96.35636363636364,NA,89.23,89.23,99.4409090909091,66.3709090909091,91.06545454545454,NA,NA,100,NA,NA,83.18454545454546,75.30818181818182,NA
35,Ile Europa,NA,87.04272727272728,92.25,100,85.84181818181818,NA,90.47636363636364,90.47636363636364,97.16,49.00909090909091,87.61454545454545,NA,NA,100,NA,74.52,74.50454545454545,76.92454545454545,NA
149,Jarvis Island,NA,85.6209090909091,95.45,NA,98.10727272727273,NA,63.10272727272727,63.10272727272727,97.54181818181819,66.3709090909091,85.09454545454545,NA,NA,100,NA,NA,83.18454545454546,73.70363636363636,NA
220,Sint Maarten,92.78363636363636,93.16272727272727,100,100,57.86272727272727,79.69272727272727,73.85272727272728,73.85272727272728,99.94909090909091,69.43181818181819,84.20727272727272,88.05181818181818,96.40181818181819,46.25818181818182,0,NA,57.846363636363634,86.37545454545455,94.28454545454545
31,Seychelles,85.13363636363637,81.98454545454545,80.9,99.96,80.35090909090908,65.11272727272728,54.81545454545454,54.81545454545454,84.3790909090909,58.75090909090909,82.55454545454545,82.55181818181818,100,61.733636363636364,0.0018181818181818182,99.60909090909091,60.24181818181818,79.59,100
221,Northern Saint-Martin,74.82545454545455,90.67181818181818,92.18,100,62.14090909090909,79.96181818181819,48.71818181818182,48.71818181818182,93.45272727272727,68.72,82.15,88.18181818181817,96.40181818181819,100,0,87.55636363636364,84.35909090909091,87.89,92.88
162,New Zealand,78.85090909090908,78.24272727272728,99.93,95.99636363636364,77.65545454545455,99.5,59.70363636363636,49.00909090909091,78.67909090909092,53.59090909090909,81.81818181818181,99.75,100,58.985454545454544,2.3427272727272728,93.9090909090909,56.28909090909091,77.80181818181818,88.57272727272728
107,Clipperton Island,NA,84.92363636363636,100,NA,83.01181818181819,NA,73.33272727272727,73.33272727272727,100,63.4,80.95727272727272,NA,NA,63.63636363636363,NA,NA,63.518181818181816,69.84727272727272,NA
248,Saba,88.33818181818182,92.77,100,100,68.07272727272728,74.98454545454545,35.908181818181816,35.908181818181816,100,67.86181818181818,80.47636363636364,68.68181818181819,62.37,86.36363636363636,0,NA,77.11272727272727,85.53,93.4
94,Heard and McDonald Islands,NA,83.25363636363636,NA,NA,99.33181818181818,NA,50.61,50.61,84.31090909090909,71.17909090909092,80.38454545454546,NA,NA,100,NA,83.14090909090909,85.59,82.19272727272727,NA
120,Antigua and Barbuda,100,78.63727272727273,75.18909090909091,98.85272727272726,58.46545454545455,84.61454545454546,55.515454545454546,55.485454545454544,77.30818181818182,69.01818181818182,79.99181818181818,92.30727272727273,100,89.97,0,66.51727272727273,79.49545454545455,79.96636363636364,94.95818181818181
90,Prince Edward Islands,NA,80.14363636363636,63.68,NA,88.15818181818182,NA,90.13727272727273,90.13727272727273,81.71363636363637,59.75454545454546,79.96727272727273,NA,NA,95.70181818181818,NA,NA,77.72545454545455,78.57272727272728,NA
110,Bahamas,85.36454545454545,77.71,62.05,84.86909090909091,60.70636363636363,94.09818181818183,84.39818181818181,84.38272727272727,73.15363636363637,66.58727272727273,79.75727272727272,80.25636363636364,66.40454545454546,82.77181818181819,0,87.55636363636364,74.6790909090909,82.2690909090909,100
250,Aruba,92.13454545454546,83.26454545454546,99.36,96.67,64.73181818181818,100,47.92090909090909,47.92090909090909,85.58,73.11636363636363,79.70454545454545,100,100,11.07,NA,70.86090909090909,42.096363636363634,80.94727272727273,100
29,Mayotte,78.34363636363636,88.88818181818182,95.67636363636365,100,62.152727272727276,100,68.43272727272728,67.11818181818182,97.25,59.22,79.52090909090909,100,100,99.92363636363636,0.12090909090909091,66.56181818181818,79.57181818181817,80.52545454545455,56.90181818181818
54,United Arab Emirates,99.35454545454546,84.06272727272727,81.01727272727273,87.56090909090909,68.06090909090909,98.84727272727272,73.76454545454546,72.2590909090909,83.66636363636364,63.652727272727276,79.38090909090909,99.42363636363636,100,75.9090909090909,0.53,91.43636363636364,69.78090909090909,84.45636363636363,40.833636363636366
249,Sint Eustatius,88.33818181818182,93.23,100,100,62.47272727272727,74.98454545454545,35.908181818181816,35.908181818181816,100,67.86181818181818,79.30090909090909,68.68181818181819,62.37,75.53090909090909,0,NA,71.69909090909091,86.46090909090908,93.4
111,Turks and Caicos Islands,86.2009090909091,74.41454545454546,74.65363636363637,84.8190909090909,59.78727272727273,90.51909090909092,91.9009090909091,91.89727272727272,70.08909090909091,68.66909090909091,78.43727272727273,90.2090909090909,89.8990909090909,56.6,0,66.51727272727273,62.63454545454545,78.74,93.24909090909091
48,Oman,96.42909090909092,78.16636363636364,95.53363636363636,99.30636363636364,75.36090909090909,100,55.54909090909091,55.46,74.93454545454546,60.61636363636364,78.3790909090909,100,100,39.68363636363637,0.013636363636363637,98.43363636363637,50.15,81.4,34.96545454545455
33,Juan de Nova Island,NA,86.95727272727272,88.22,NA,85.05454545454546,95.22727272727273,90.47636363636364,90.47636363636364,94.74363636363636,49.00909090909091,78.05727272727273,94.4009090909091,93.58363636363637,0,NA,74.52,24.504545454545454,79.17,NA
245,Bonaire,79.79454545454546,77.94636363636364,97.60272727272726,67.44,76.28999999999999,74.98454545454545,55.015454545454546,55.015454545454546,75.31818181818181,67.86181818181818,77.64090909090909,68.68181818181819,62.37,86.36363636363636,NA,83.14454545454545,77.11272727272727,80.57454545454546,93.4
103,Sao Tome and Principe,83.98363636363636,87.62181818181818,99.76545454545455,99.76545454545455,49.68454545454546,100,46.626363636363635,46.626363636363635,100,61.3,77.24636363636364,100,100,29.52,0,80.4509090909091,45.411818181818184,75.24272727272727,79.15363636363637
89,South Georgia and the South Sandwich Islands,NA,72.77363636363636,NA,NA,97.96272727272728,NA,61.70909090909091,61.70909090909091,64.81181818181818,62.90272727272727,77.00454545454545,NA,NA,100,NA,69.67666666666666,81.4509090909091,80.73727272727272,NA
57,Madeira,80.40272727272728,80.20454545454545,NA,NA,66.64636363636363,91.15727272727273,70.28090909090909,70.28090909090909,85.78272727272727,64.02181818181818,76.70727272727272,79.73363636363636,68.32000000000001,100,0,87.77090909090909,82.0109090909091,74.62727272727273,66.60636363636364
190,Qatar,95.50727272727272,83.47090909090909,98.63,98.57,71.05272727272727,74.18727272727273,64.47181818181818,64.47181818181818,82.94909090909091,67.27181818181818,76.66,63.38545454545454,52.57454545454545,79.06,0,69.09727272727272,73.16636363636364,83.99363636363637,49.27
19,Tuvalu,81.39272727272727,87.29363636363637,100,100,48.09727272727273,93.46636363636364,89.17363636363636,89.16818181818182,99.85636363636364,57.52272727272727,76.65818181818182,96.73272727272727,100,3.62,0,66.51727272727273,30.57,74.73272727272727,66.80090909090909
150,Palmyra Atoll,NA,79.93363636363637,73.56,NA,92.6,NA,52.942727272727275,52.942727272727275,86.56,66.3709090909091,76.44363636363636,NA,NA,100,NA,NA,83.18454545454546,73.31,NA
157,Phoenix Islands (Kiribati),47.096363636363634,86.8990909090909,99,NA,95.03909090909092,63.34818181818182,83.58090909090909,83.58090909090909,99.31818181818181,63.12,76.3790909090909,68.36909090909091,73.39,100,0,66.51727272727273,81.56,74.47363636363636,59.35181818181818
237,Oecussi Ambeno,81.09818181818181,92.22909090909091,100,99.62272727272727,63.083636363636366,87.98727272727272,63.558181818181815,63.558181818181815,99.3809090909091,66.97090909090909,76.19272727272727,75.24727272727272,62.51363636363636,55.06909090909091,0,NA,61.02181818181818,85.07363636363637,49.86363636363636
222,Sweden,96.56,72.61909090909091,61.51,61.82,68.70727272727272,100,77.17363636363636,77.44181818181818,55.13,85.9590909090909,75.84272727272727,100,100,78.4090909090909,82.32454545454546,99.7390909090909,82.18454545454546,90.10545454545455,37.86181818181818
70,Estonia,91.88727272727273,76.3790909090909,62.67,55.8,69.67272727272727,97.56545454545454,92.77818181818182,92.57181818181817,61.10818181818182,90.92363636363636,75.82818181818182,72.52363636363637,47.48181818181818,100,0.1709090909090909,99.87,95.46181818181819,91.6509090909091,41.43
173,Uruguay,92.12363636363636,63.00090909090909,59.57,81.91,65.64545454545454,100,41.768181818181816,41.768181818181816,57.05090909090909,63.61909090909091,75.82727272727273,100,100,91.37454545454545,0,99.9090909090909,77.49636363636364,68.95,76.86363636363636
145,Greenland,84.88818181818182,68.62454545454545,86.03090909090909,74.62,87.1209090909091,99.63909090909091,54.48,54.48,56.223636363636366,61.653636363636366,75.45454545454545,99.81545454545454,100,98.80818181818182,0,80.43909090909091,80.23272727272727,81.02454545454546,38.302727272727275
183,Portugal,64.01545454545455,73.09,99.12,84.13,63.82454545454545,100,45.24909090909091,43.68363636363636,71.70363636363636,60.88363636363636,75.25,93.34272727272727,86.68545454545455,100,30.688181818181818,73.93727272727273,80.44272727272727,74.47363636363636,76.9309090909091
