country,region_id,Index,AO,SPP,BD,HAB,CP,CS,CW,ECO,LE,LIV,FIS,FP,MAR,ICO,SP,LSP,NP,TR
eez_weighted_avg,0,-0.08,-0.02,-0.2,-0.29,-0.37,-0.08,0.01,0.22,0.31,0.17,0.03,-0.15,-0.22,0.1,-0.55,0.18,0.91,-0.09,-0.78
Pitcairn,146,1.25,3.4,-0.15,-0.07,-0,-0,NA,-0.27,0.85,0.43,0.01,-0.14,-0.14,0,-0.89,5.92,12.73,NA,0.7
Clipperton Island,107,0.92,NA,-0.37,-0.19,-0,-0,NA,-0.03,NA,NA,NA,-1.13,-1.13,NA,-0.88,5.92,12.73,NA,NA
South Korea,20,0.73,0.7,-0.45,-0.82,-1.19,-0,0,0.11,-0,0.05,0.1,0.14,0.87,0.03,0.02,2.71,5.4,3.38,0.28
Jamaica,166,0.6,5.51,-0.33,-0.24,-0.14,-0.04,-0.01,0.31,0.22,0.1,-0.03,-0.06,-0.05,-0,-0.97,-0.46,0.05,0.76,0.12
South Georgia and the South Sandwich Islands,89,0.6,NA,0.17,0.29,0.41,NA,NA,0.06,NA,NA,NA,1.98,1.98,NA,0.66,0.33,-0,0.34,NA
Norfolk Island,3,0.57,0.25,-0.03,-0.02,-0,-0,NA,0.01,0.01,0.09,0.17,-0.09,-0.09,0,-0.78,5.32,11.43,-0.33,-0.12
Papua New Guinea,17,0.57,0.02,-0.22,-0.12,-0.02,-0,-0,-0.2,0.19,0.1,-0,-0.18,-0.19,0,-0.96,-0.48,-0,6.41,0.13
Japan,210,0.57,3.61,-0.26,-0.52,-0.78,0.08,-0.01,0.23,-0,0.25,0.5,0.81,0.53,-0.33,-0.47,0.21,0.88,1.09,0.24
Lebanon,78,0.54,1.39,-0.72,0.11,0.94,0,0,2.18,0.05,-0.03,-0.1,-0.6,-0.59,-0.05,-0.47,-0.2,0.07,2.83,-0.29
Iraq,192,0.5,3.32,-0.24,-0.36,-0.48,0.02,0.03,2.55,1.61,0.81,-0,0.06,0.06,0,-1.17,-0.58,0,0.31,-1.15
Ascension,85,0.49,-0.18,-0.11,-0.05,-0,NA,NA,0.11,0.28,0.05,-0.17,-0.67,-0.67,0,-0.63,5.2,11.03,-0.33,-0.23
Tokelau,156,0.49,4.12,-0.36,-0.18,-0,0,-0,1.02,0.85,0.43,0.01,-0.15,-0.15,0,-1.34,-0.67,0,-0.33,0.69
Saint Kitts and Nevis,119,0.47,-0.67,-0.28,-0.17,-0.06,-0,-0,1.12,0.48,-0.04,-0.55,-0.06,-0.06,0,-0.9,4.51,9.91,0.03,-0
Indonesia,216,0.42,0.03,-0.27,-0.48,-0.69,0,0,0.32,1.46,0.38,-0.7,-0.06,-0.16,0.33,-0.82,0.21,1.25,3.66,0.26
Argentina,172,0.4,0.44,-0.1,-0.05,-0,-0,0,0.86,-0,-0,-0.01,2.01,2.01,0,-0.12,0.87,1.87,0.37,-0.52
Malta,68,0.39,1.06,-0.62,-0.64,-0.65,0,0,0.23,0.28,0.11,-0.06,0.46,0.28,-0.09,-0.43,2.14,4.71,0.72,-0.01
Nicaragua,131,0.38,-1.48,-0.32,-0.18,-0.05,-0.05,-0.01,0.08,-0,-0.14,-0.28,-0.01,0.12,0.02,-0.83,-0.42,-0,4.89,0.95
