"region_id","data2016_methods2015"
0,38.29
1,45.97
2,64.81
3,22.68
4,21.21
5,59.62
6,48.17
7,50.86
8,49.71
9,43.07
10,48.66
11,39.22
12,3.62
13,10.12
14,20.09
15,20.73
16,39.4
17,48.91
18,32.47
19,49.6
20,23.24
21,30.89
24,44.75
25,47.75
26,13.61
28,61.38
29,88.55
30,60.03
31,80.08
32,53.12
33,81.67
34,45.13
35,26.26
36,48.89
37,34.65
38,27.61
39,74.47
40,31.36
41,28.53
42,30.5
43,18.82
44,35.71
45,24.08
46,25.62
47,27.88
48,47.25
49,19.22
50,32.84
51,7.36
52,8.52
53,58.57
54,35.15
55,33.26
56,9.62
57,23.48
58,14.85
59,50.47
60,30.74
61,16.24
62,7.17
63,2.99
64,2.96
65,12.53
66,14.39
67,25.57
68,29.51
69,49.7
70,55.15
71,16.01
72,44.62
73,49.39
74,68.04
75,61.04
76,60.74
77,42.01
78,56.64
79,19.99
80,38.19
81,28.16
82,10.9
84,43.44
85,70.58
86,37.22
88,43.9
89,67.7
90,44.12
91,47.87
92,3.07
93,42.07
94,49.46
95,75.18
96,10.96
97,5.85
98,13.51
99,20.44
100,19.41
101,19.29
102,70.91
103,12.22
104,7.83
105,0.34
106,36.01
107,70.22
108,27.15
110,46.05
111,1.1
112,23.14
113,27.94
114,17.57
115,28.63
116,20.61
117,28.11
118,28.4
119,11.39
120,19.06
121,16.42
122,14.12
123,10.69
124,4.49
125,29.32
126,15.07
127,24.17
129,29.46
130,20.53
131,17.16
132,24.32
133,19.8
134,9.13
135,41.99
136,11.64
137,30.09
138,40.96
139,24.34
140,6.23
141,13.22
143,22.35
144,0.89
145,13.55
146,59.84
147,31.27
148,48.31
149,80.79
150,70.43
151,63.08
152,43.02
153,18.47
154,13.62
155,15.01
156,46.33
157,68.4
158,45.93
159,6.71
161,54.02
162,30.68
163,46.93
164,20.59
166,6.72
167,11.37
168,19.48
169,17.64
171,45.03
172,45.12
173,48.06
174,46.63
175,8.96
176,23.09
177,41.19
178,39.31
179,40.82
180,41.41
181,39.99
182,18.2
183,21.2
184,42.37
185,36.61
186,22.79
187,26.76
188,45.23
189,50.33
190,21.53
191,21.84
192,15.67
193,6.27
194,3.51
195,10.44
196,22.97
197,30.19
198,25.33
199,10.84
200,9.53
202,62.3
203,40.73
204,16.61
205,22.87
206,44.61
207,61.92
208,21.47
209,21.39
210,44.25
212,44
213,NA
214,24.38
215,14.56
216,40.77
218,26.88
219,29.99
220,32.69
221,25.45
222,41.69
223,29.38
224,45.34
227,59.08
228,45.88
231,62.66
232,15.88
237,90
244,32.83
245,30.31
247,26.66
248,36.94
249,20.44
250,25.44
