"region_id","data2015_methods2015"
0,58.92
1,34.12
2,30.88
3,44.13
4,51.35
5,97
6,91.5
7,98
8,96.5
9,74.23
10,96
11,96
12,7.19
13,18.27
14,28.23
15,89.25
16,57.47
17,98
18,87.41
19,98.5
20,2.14
21,53.69
24,7.07
25,67.07
26,15.6
28,79.71
29,87.79
30,NA
31,79.15
32,82.33
33,NA
34,NA
35,NA
36,82.39
37,68.89
38,83.03
39,80.2
40,35.15
41,75.87
42,54.67
43,62.86
44,75.24
45,67.68
46,78.73
47,69.36
48,83.66
49,68.38
50,72.23
51,38.25
52,73.91
53,61.58
54,77.96
55,43.11
56,71.52
57,60.17
58,73.09
59,63.49
60,83.5
61,57.97
62,79.13
63,73.17
64,64.16
65,65.71
66,72.49
67,60.46
68,78.93
69,76.82
70,75.43
71,87.94
72,61.09
73,31.35
74,95.18
75,89.75
76,64.65
77,49.1
78,46.89
79,52.01
80,64.22
81,46.67
82,61.84
84,77.27
85,45.29
86,67.06
88,33.93
89,28.5
90,85.01
91,85.95
92,13.2
93,79.43
94,78.16
95,39.7
96,76.32
97,52.89
98,82.35
99,58.55
100,71.67
101,35.05
102,49
103,54.33
104,49.53
105,30.28
106,79.54
107,77.26
108,17.55
110,81.29
111,52.99
112,19.86
113,7.75
114,1.01
115,19.01
116,26.56
117,9.95
118,3.29
119,12.06
120,20.49
121,1.1
122,10.87
123,10.83
124,35.79
125,30.72
126,24.74
127,5.46
129,94
130,58.55
131,53.72
132,28.08
133,35.39
134,49.12
135,50.38
136,85.64
137,45.51
138,73.18
139,44.18
140,4.37
141,65.72
143,59.48
144,64.11
145,67.63
146,53.15
147,60.18
148,NA
149,52.9
150,52.07
151,56.28
152,51.06
153,48.45
154,59
155,66.94
156,58.31
157,NA
158,92.5
159,53.12
161,95.5
162,48.91
163,53.07
164,34.47
166,3.18
167,3.1
168,7.4
169,16.4
171,64.5
172,42.32
173,59.09
174,70.18
175,63.5
176,63.93
177,61.83
178,76.02
179,67.25
180,70.51
181,74.44
182,56.4
183,56.85
184,64.94
185,72.99
186,67.48
187,68.68
188,86.93
189,78.7
190,80.76
191,58.35
192,59.87
193,55.96
194,63.55
195,82.84
196,45.73
197,52.9
198,61.94
199,30.37
200,16.16
202,62.51
203,49.47
204,1.97
205,1.98
206,65.31
207,3.1
208,79.67
209,36.71
210,28.73
212,70.26
213,NA
214,49.4
215,5.15
216,85.05
218,59.89
219,70.84
220,6.46
221,NA
222,72.43
223,67.26
224,75.13
227,NA
228,NA
231,44.21
232,64.26
237,NA
244,NA
245,NA
247,69.54
248,NA
249,NA
250,3.28
