"region_id","data2016_methods_penalty_no_underfish"
0,69.98
1,81.67
2,89.32
3,45.01
4,91.9
5,87.58
6,82.03
7,97.1
8,98.9
9,96.7
10,99.7
11,87.67
12,25.08
13,52.36
14,62.67
15,68.38
16,78
17,96.05
18,71
19,99.05
20,65.28
21,66.64
24,72.37
25,74.49
26,55.67
28,81.04
29,93.75
30,85.79
31,83.35
32,83.61
33,87.62
34,60.75
35,44.82
36,67.63
37,64.74
38,64.66
39,87.03
40,68.14
41,64.69
42,65.96
43,58.62
44,67.89
45,63.52
46,63.83
47,61.09
48,78.36
49,56.38
50,71.77
51,43.08
52,47.1
53,83.01
54,73.71
55,62.5
56,44.53
57,58.69
58,61.08
59,81.84
60,69.24
61,58.88
62,48.23
63,33.86
64,32.62
65,58.46
66,62.62
67,68.68
68,69.35
69,85.66
70,95
71,62.44
72,74.13
73,89.32
74,84.5
75,77.23
76,75.84
77,75.05
78,76.29
79,65.14
80,72.19
81,72.19
82,44.63
84,63.52
85,86.91
86,72.7
88,75.11
89,85.84
90,54.63
91,61.42
92,25.19
93,44.12
94,49.66
95,80.19
96,60.25
97,41.64
98,55.95
99,52.75
100,57.77
101,77.37
102,92.67
103,49.62
104,51.09
105,3.8
106,74.56
107,78.97
108,65.18
110,78.8
111,16.82
112,53.43
113,65.19
114,53.73
115,48.81
116,50.35
117,62.13
118,56.75
119,44.1
120,46.97
121,47.13
122,49.38
123,44.35
124,31.64
125,59.03
126,37.4
127,57.45
129,56.13
130,49.36
131,43.07
132,49.4
133,54.9
134,35.13
135,63.41
136,37.5
137,48.28
138,43.05
139,38.12
140,33.98
141,37.18
143,42.92
144,10.28
145,51.3
146,88.4
147,68.55
148,83.88
149,93.7
150,94.05
151,94.6
152,76.92
153,60.12
154,63.19
155,65.74
156,91.05
157,96.9
158,95.95
159,46.66
161,94.8
162,58.34
163,72.07
164,49.46
166,31.82
167,43.2
168,44.47
169,39.57
171,66.43
172,57.83
173,64.14
174,95.7
175,48.82
176,68.06
177,73.53
178,72.08
179,73.05
180,72.13
181,60.79
182,52.94
183,48.68
184,67.68
185,70.07
186,50.18
187,53.16
188,52.6
189,84.68
190,65.69
191,59.55
192,55.15
193,46.25
194,32.93
195,55.42
196,64.74
197,72.81
198,66.04
199,56.05
200,50.46
202,78.45
203,72.83
204,59.83
205,59.53
206,77.76
207,77.53
208,54.75
209,60.95
210,81.31
212,96.15
213,NA
214,64.91
215,62.01
216,76.06
218,51.06
219,46.43
220,60.13
221,56.33
222,82.66
223,69.55
224,47.34
227,80.58
228,67.99
231,77.84
232,46.44
237,89.73
244,54.64
245,59.03
247,67.09
248,59.26
249,53.05
250,53.26
