"region_id","data2015_methods2015","data2016_methods2015","data2016_methods_taxa_penalty","data2016_methods_wt_mean","data2016_methods_taxa_penalty_wt_mean","data2016_methods_penalty_no_underfish","country"
0,58.92,38.29,49.82,60.62,61.6,69.98,NA
1,34.12,45.97,67.5,82.91,84.65,81.67,"Cocos Islands"
2,30.88,64.81,76.92,89.25,89.55,89.32,"Christmas Island"
3,44.13,22.68,31.59,39.06,39.77,45.01,"Norfolk Island"
4,51.35,21.21,28.92,34.72,35.17,91.9,"Macquarie Island"
5,97,59.62,71.47,80.05,80.72,87.58,"New Caledonia"
6,91.5,48.17,61.34,74.66,75.64,82.03,"Vanuatu"
7,98,50.86,54.45,60.54,60.75,97.1,"Solomon Islands"
8,96.5,49.71,50.8,55.73,55.73,98.9,"Palau"
9,74.23,43.07,47.86,54.12,54.55,96.7,"Micronesia"
10,96,48.66,49.31,53.67,53.78,99.7,"Nauru"
11,96,39.22,46.64,55.04,55.68,87.67,"Marshall Islands"
12,7.19,3.62,12.46,17.61,20.08,25.08,"Wake Island"
13,18.27,10.12,25.11,35.41,38.09,52.36,"Northern Mariana Islands and Guam"
14,28.23,20.09,38.24,53.42,55.69,62.67,"Taiwan"
15,89.25,20.73,42.98,60.49,63.21,68.38,"Philippines"
16,57.47,39.4,56.16,68.5,69.75,78,"Australia"
17,98,48.91,51.44,57,57.21,96.05,"Papua New Guinea"
18,87.41,32.47,48.14,60.06,61.52,71,"Fiji"
19,98.5,49.6,51,56.49,56.59,99.05,"Tuvalu"
20,2.14,23.24,41.49,60.81,62.4,65.28,"South Korea"
21,53.69,30.89,47.79,60.01,61.7,66.64,"North Korea"
24,7.07,44.75,58.98,68.73,69.75,72.37,"Cambodia"
25,67.07,47.75,61.71,71.22,72.25,74.49,"Thailand"
26,15.6,13.61,34.78,50.75,54.62,55.67,"Andaman and Nicobar"
28,79.71,61.38,78.27,88.82,89.72,81.04,"Comoro Islands"
29,87.79,88.55,91.25,93.15,93.25,93.75,"Mayotte"
30,NA,60.03,81.42,89.05,89.55,85.79,"Glorioso Islands"
31,79.15,80.08,87.3,90.6,90.75,83.35,"Seychelles"
32,82.33,53.12,71.55,85.85,87.09,83.61,"R_union"
33,NA,81.67,87.35,90.75,90.95,87.62,"Juan de Nova Island"
34,NA,45.13,50.53,64.12,64.59,60.75,"Bassas da India"
35,NA,26.26,34.56,44.18,45.3,44.82,"Ile Europa"
36,82.39,48.89,57.57,69.01,69.66,67.63,"Ile Tromelin"
37,68.89,34.65,51.6,64.07,65.7,64.74,"Mauritius"
38,83.03,27.61,49.55,65.68,68.21,64.66,"British Indian Ocean Territory"
39,80.2,74.47,88.02,92.25,92.5,87.03,"Maldives"
