"region_id","data2016_methods_taxa_penalty_wt_mean"
0,61.6
1,84.65
2,89.55
3,39.77
4,35.17
5,80.72
6,75.64
7,60.75
8,55.73
9,54.55
10,53.78
11,55.68
12,20.08
13,38.09
14,55.69
15,63.21
16,69.75
17,57.21
18,61.52
19,56.59
20,62.4
21,61.7
24,69.75
25,72.25
26,54.62
28,89.72
29,93.25
30,89.55
31,90.75
32,87.09
33,90.95
34,64.59
35,45.3
36,69.66
37,65.7
38,68.21
39,92.5
40,65.64
41,63.09
42,66.96
43,57.78
44,69.26
45,61.93
46,63.11
47,60.59
48,77.51
49,54.09
50,69.9
51,41.07
52,44.77
53,80.9
54,72.48
55,62.79
56,44.35
57,58.66
58,56.07
59,67.4
60,63.74
61,54.01
62,44.04
63,29.56
64,26.29
65,51.57
66,51.98
67,63.73
68,64
69,64.7
70,67.78
71,59.65
72,72.31
73,76.03
74,83.43
75,75.5
76,74.09
77,68.74
78,71.14
79,61.96
80,67.55
81,66
82,41.65
84,59.31
85,86.91
86,72.78
88,74.43
89,77.78
90,55.51
91,62.6
92,25.28
93,44.12
94,49.66
95,80.94
96,49.86
97,34.46
98,45.08
99,49.18
100,49.3
101,35.62
102,84.12
103,48.07
104,42.28
105,3.8
106,55.35
107,77.11
108,65.02
110,71.91
111,15.67
112,50.57
113,60.7
114,46.15
115,48.28
116,45.99
117,55.13
118,53.28
119,38.36
120,45.78
121,44.32
122,41.25
123,41.78
124,30.01
125,51.49
126,34.21
127,52.35
129,52.21
130,44.39
131,39.15
132,44.43
133,51.04
134,34.11
135,59.21
136,33.97
137,48.59
138,41.91
139,36.53
140,31.47
141,32.34
143,42.07
144,10.28
145,51.38
146,70.37
147,60.9
148,74.18
149,88.15
150,87.33
151,84.55
152,59.34
153,53.19
154,54.46
155,53.54
156,78.76
157,77.03
158,59.61
159,37.94
161,80.39
162,50.38
163,68.32
164,44.98
166,30.16
167,41.77
168,42.2
169,38.82
171,64.58
172,58.21
173,63.47
174,57.61
175,39.76
176,52.84
177,62.53
178,54.52
179,62.49
180,59.58
181,54.26
182,47.57
183,47.39
184,63.39
185,65.93
186,47.19
187,50.38
188,52.55
189,66.45
190,64.29
191,58.7
192,52.51
193,38.01
194,24.93
195,46.51
196,54
197,66.26
198,62.46
199,47.01
200,38.4
202,76.39
203,69.71
204,57.61
205,56.81
206,75.39
207,70.46
208,53.37
209,55.58
210,71.68
212,55.17
213,NA
214,60.98
215,61.86
216,71.86
218,51.05
219,46.13
220,51.23
221,51.79
222,58.26
223,50.01
224,47.17
227,77.48
228,66.53
231,73.84
232,44
237,92.6
244,51.94
245,52.91
247,65.21
248,50.33
249,44.51
250,45.16
