"region_id","data2016_methods_taxa_penalty"
0,49.82
1,67.5
2,76.92
3,31.59
4,28.92
5,71.47
6,61.34
7,54.45
8,50.8
9,47.86
10,49.31
11,46.64
12,12.46
13,25.11
14,38.24
15,42.98
16,56.16
17,51.44
18,48.14
19,51
20,41.49
21,47.79
24,58.98
25,61.71
26,34.78
28,78.27
29,91.25
30,81.42
31,87.3
32,71.55
33,87.35
34,50.53
35,34.56
36,57.57
37,51.6
38,49.55
39,88.02
40,50.55
41,48.28
42,50.4
43,39.9
44,54.3
45,45.23
46,46.58
47,46.26
48,63.66
49,38.7
50,53.15
51,24.95
52,27.37
53,71.51
54,56.1
55,46.76
56,25.89
57,39.52
58,32.81
59,57.36
60,48.86
61,36.19
62,24.58
63,14.12
64,15.24
65,31.47
66,32.92
67,45.99
68,47.72
69,51.83
70,57.89
71,35.67
72,56.96
73,63.34
74,76.35
75,66.69
76,66.84
77,57.21
78,65.24
79,41.93
80,54.04
81,48.5
82,27.8
84,51.64
85,77.37
86,57.58
88,61.9
89,69.94
90,50.94
91,55.96
92,17
93,43.33
94,49.68
95,77.68
96,28.09
97,19.83
98,28.85
99,37.06
100,32.65
101,28.93
102,77.2
103,29.63
104,23.12
105,2.91
106,45.05
107,73.16
108,45.97
110,57.36
111,8.79
112,35.9
113,45.45
114,32.42
115,39.92
116,33.57
117,41.17
118,41.28
119,24.86
120,33.58
121,30.96
122,28.02
123,25.91
124,16.87
125,40.43
126,25.9
127,38.36
129,41.76
130,32.02
131,28.52
132,35.13
133,33.82
134,21.17
135,49.11
136,23.26
137,40.69
138,41.86
139,30.81
140,18.79
141,24.22
143,31.79
144,6.94
145,27.43
146,65.66
147,44.85
148,60.02
149,84.3
150,79.73
151,73.77
152,50.32
153,33.57
154,33.54
155,34.88
156,64.37
157,71.01
158,51.77
159,21.77
161,67.7
162,39.96
163,56.06
164,32.56
166,19.05
167,24.75
168,30.26
169,28.48
171,54.53
172,50.99
173,54.65
174,50.45
175,24.1
176,38.08
177,51.72
178,41.19
179,51.82
180,49.63
181,47.05
182,34.58
183,35.62
184,52.45
185,52.31
186,36.81
187,40.43
188,48.85
189,52.75
190,44.52
191,41.42
192,35.63
193,21.13
194,13.96
195,25.62
196,39.86
197,49.18
198,42.53
199,29.04
200,25.25
202,69.5
203,56.74
204,37.77
205,41.59
206,62.17
207,66.6
208,38.84
209,37.18
210,59.19
212,48.75
213,NA
214,44.63
215,37.82
216,58.31
218,35.99
219,34.4
220,42.12
221,38.73
222,45.96
223,39.25
224,46.31
227,67.61
228,54.78
231,68.56
232,32.17
237,91.15
244,42.2
245,41.72
247,48.03
248,43.42
249,32.82
250,35.33
