"region_id","data2016_methods_wt_mean"
0,60.62
1,82.91
2,89.25
3,39.06
4,34.72
5,80.05
6,74.66
7,60.54
8,55.73
9,54.12
10,53.67
11,55.04
12,17.61
13,35.41
14,53.42
15,60.49
16,68.5
17,57
18,60.06
19,56.49
20,60.81
21,60.01
24,68.73
25,71.22
26,50.75
28,88.82
29,93.15
30,89.05
31,90.6
32,85.85
33,90.75
34,64.12
35,44.18
36,69.01
37,64.07
38,65.68
39,92.25
40,63.74
41,61.08
42,64.94
43,54.81
44,67.65
45,59.58
46,60.82
47,58.76
48,76.33
49,51.56
50,68.1
51,36.28
52,40.21
53,80.19
54,70.63
55,62.24
56,41.7
57,57.49
58,54.18
59,67.07
60,61.88
61,51.23
62,39.86
63,25.53
64,20.97
65,48.59
66,49.27
67,61.82
68,62.25
69,64.59
70,67.67
71,57.5
72,71.9
73,75.3
74,83.11
75,75.3
76,73.67
77,67.41
78,70.62
79,59.04
80,66.27
81,63.94
82,38.32
84,58.5
85,86.68
86,70.97
88,73.07
89,77.78
90,54.99
91,62.06
92,18.05
93,44.12
94,49.66
95,80.83
96,47.29
97,30.77
98,43.22
99,46.97
100,47.98
101,34.74
102,83.8
103,45.25
104,39.47
105,1.57
106,54.73
107,77.23
108,63.58
110,71.38
111,10.44
112,49.54
113,59.08
114,44.54
115,47.44
116,44.93
117,54.25
118,52.4
119,36.65
120,44.27
121,42.66
122,39.52
123,39.51
124,26.62
125,50.91
126,33.07
127,51.16
129,51.49
130,43.44
131,38.04
132,43.77
133,49.91
134,32.58
135,58.79
136,32.66
137,47.9
138,41.82
139,36.04
140,28.64
141,31.13
143,41.45
144,6.3
145,50.06
146,70.05
147,60.35
148,74
149,88.04
150,86.9
151,84.38
152,59.11
153,52.1
154,51.52
155,50.52
156,77.52
157,76.93
158,59.16
159,34.46
161,79.6
162,49.73
163,68
164,44.08
166,27.65
167,40.26
168,41.28
169,37.64
171,64.06
172,58.01
173,63.16
174,57.39
175,36.7
176,51.06
177,61.76
178,54.41
179,61.72
180,59.04
181,53.85
182,45.42
183,46.14
184,62.64
185,64.62
186,45.51
187,48.99
188,52.33
189,66.34
190,61.33
191,56.07
192,49.49
193,34.37
194,21.41
195,44.39
196,52.32
197,64.64
198,61.01
199,43.71
200,35.17
202,75.97
203,68.35
204,54.57
205,54.6
206,74.12
207,70.25
208,51.05
209,53.86
210,70.69
212,54.85
213,NA
214,58.7
215,58.22
216,70.49
218,50.39
219,45.91
220,50.7
221,50.8
222,58.04
223,49.39
224,47.07
227,77.04
228,66.09
231,73.43
232,41.61
237,92.55
244,51.4
245,52.15
247,62.93
248,49.9
249,43.33
250,44.4
