"targets","layer","layer_old","name","description","fld_value","units","path_in","path_in_exists","filename","path_out"
"pressures","fp_art_hb","fp_art_hb","High bycatch caused by artisanal fishing ","The presence of destructive artisanal blast and poison (cyanide) fishing","pressures.score","pressure score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Pressures_v2013a/data/p_fp_art_hb_disaggregateNature2012.csv",TRUE,"fp_art_hb.csv","eez2013/layers/fp_art_hb.csv"
"pressures","fp_art_lb","fp_art_lb","Low bycatch caused by artisanal fishing ","Statistics of low bycatch artisanal fishing using non-destructive practices","pressure_score","pressure score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Pressures_v2013a/data/fp_art_lb_2013_NEW.csv",TRUE,"fp_art_lb.csv","eez2013/layers/fp_art_lb.csv"
"pressures","fp_com_hb","fp_com_hb","High bycatch caused by commercial fishing ","Statistics of destructive commercial fishing practices by 5 different gear types (developed in Halpern et al. 2008)","pressure_score","pressure score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Pressures_v2013a/data/fp_com_hb_2013_NEW.csv",TRUE,"fp_com_hb.csv","eez2013/layers/fp_com_hb.csv"
"pressures","fp_com_lb","fp_com_lb","Low bycatch caused by commercial fishing ","Statistics of least destructive commercial fishing practices by 2 different gear types (developed in Halpern et al. 2008)","pressure_score","pressure score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Pressures_v2013a/data/fp_com_lb_2013_NEW.csv",TRUE,"fp_com_lb.csv","eez2013/layers/fp_com_lb.csv"
"pressures","fp_targetharvest","fp_targetharvest","Targeted harvest of cetaceans and sea turtles","Targeted harvest of cetaceans and marine turtles, from Food and Agricultural Organization data","score","pressure score","../ohiprep/Global/FAO-TargetedHarvest_v2012/data/rgn_fao_targeted_2013a.csv",TRUE,"fp_targetharvest.csv","eez2013/layers/fp_targetharvest.csv"
"pressures","hd_intertidal","hd_intertidal","Coastal population density as a proxy for intertidal habitat destruction","Coastal population density within 10 km of the coast","pressure_score","pressure score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Pressures_v2013a/data/hd_intertidal_2013_NEW.csv",TRUE,"hd_intertidal.csv","eez2013/layers/hd_intertidal.csv"
"pressures","hd_subtidal_hb","hd_subtidal_hb","High bycatch artisanal fishing practices as a proxy for subtidal hard bottom habitat destruction","The presence of destructive artisanal blast and poison (cyanide) fishing","value","pressure score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Pressures_v2013a/data/p_hd_subtidal_hb_v2013a.csv",TRUE,"hd_subtidal_hb.csv","eez2013/layers/hd_subtidal_hb.csv"
"pressures","hd_subtidal_sb","hd_subtidal_sb","High bycatch commercial fishing practices as a proxy for subtidal soft bottom habitat destruction","Spatially distributed commercial catch data by fishing gear type, developed by Sea Around Us Project","pressures.score","pressure score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-subtidal_softbottom_v2013a/data/po_rgn_hd_subtidal_sb_2013a.csv",TRUE,"hd_subtidal_sb.csv","eez2013/layers/hd_subtidal_sb.csv"
"pressures","po_chemicals_3nm","po_chemicals_3nm","Land-based chemical pollution","Land-based organic pollution at 1km2 resolution (as developed in Halpern et al. 2008)","pressure_score","pressure score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Pressures_v2013a/data/po_chemicals_3nm_2013_NEW.csv",TRUE,"po_chemicals_3nm.csv","eez2013/layers/po_chemicals_3nm.csv"
"pressures","po_nutrients_3nm","po_nutrients_3nm","Coastal nutrient pollution","Modeled coastal nutrient pollution based on Halpern et al. 2008","pressure_score","pressure score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Pressures_v2013a/data/po_nutrients_3nm_2013_NEW.csv",TRUE,"po_nutrients_3nm.csv","eez2013/layers/po_nutrients_3nm.csv"
"pressures","sp_alien","sp_alien","Alien species","The number and type of invasive and harmful invasive species in each marine ecoregion","pressures.score","pressure score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Pressures_v2013a/data/p_sp_alien_2013a.csv",TRUE,"sp_alien.csv","eez2013/layers/sp_alien.csv"
"pressures","sp_genetic","sp_genetic","Introduced species as a proxy for genetic escapes ","Statistics on native or introduced species from the Mariculture Sustainibility Index (MSI)","pressures.score","pressure score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Pressures-GenEsc_v2013a/data/GenEsc_v2013a.csv",TRUE,"sp_genetic.csv","eez2013/layers/sp_genetic.csv"
"pressures","ss_wgi","ss_wgi","Weakness of governance indicated with the WGI","Inverse of World Governance Indicators (WGI) six combined scores","score","pressure score","../ohiprep/Global/WorldBank-WGI_v2013/data/rgn_wb_wgi_2013a_inverse.csv",TRUE,"ss_wgi.csv","eez2013/layers/ss_wgi.csv"
