"UN_georegion","Index","AO","HAB","BD","SPP","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"Southern Islands",80.4,89,99.3,96.3,94.6,NA,NA,96.2,NA,NA,NA,48,48,NA,55,72.5,90.1,NA,NA
"Australia and New Zealand",78.5,97.1,93.3,94.5,95.8,82.8,83.3,81.5,100,97.2,94.3,50,46.3,44.3,75.8,80.1,84.3,48.3,69.3
"Polynesia",74.9,69.1,92.9,92.2,91.5,96.8,79.6,87.4,60.3,72.5,84.6,48.6,48.9,28.8,66.8,37.9,9,82.2,84.4
"Eastern Europe",74.8,84.7,99.2,95.2,91.2,90.7,99.6,90.4,100,92.7,85.5,64.6,64.7,97.5,75.6,83.5,91.5,34.1,12.8
"Micronesia",72.7,62.3,93.9,91.7,89.6,96.2,88.6,74.9,61,69,77,71.5,71.4,0.4,60.8,48.1,35.4,43.2,67.2
"Southern Europe",72.2,86,89.7,92.1,94.5,65.7,65.5,60.6,89.2,79.6,69.9,43.3,42.1,32.3,66.6,75.8,85.1,55.5,81.6
"Northern America",71.7,99,83.2,89,94.7,90,59.1,82.4,99.9,82.8,65.7,47.7,48.2,34.5,68.6,61.8,55,56.6,47.9
"Western Europe",71.7,96,87.8,91.4,95,73.7,76,48.7,97.3,81,64.7,52.8,51.3,43.6,74.3,87.1,100,49.1,62.9
"Southern Africa",71.2,81.5,96.8,94.9,93.1,99.6,99.8,66,83.5,91.7,100,72.4,72.2,7.4,68.5,80.6,92.8,13.7,37.3
"Melanesia",70.4,53.3,88.6,88,87.5,87,78.3,72.4,95.3,93.6,91.9,76.5,75.5,3.2,62.2,49.5,36.8,56,50.1
"Eastern Asia",70,89.7,92.3,91.8,91.3,95,88.2,56.9,98.7,82.6,66.5,54.1,57.3,37.8,64.3,70.6,77,46.4,24.2
"Southern Asia",69.1,55.6,92.1,90.7,89.2,94.6,84.6,52,83.5,72.4,61.3,61.7,59.6,7.6,60.9,47.4,33.8,81.6,54.6
"Northern Europe",69,97.3,88.7,92,95.3,71.4,60.2,82.9,80,82.5,85,46,48.8,63.3,64.5,65.4,66.3,20.8,48.5
"Eastern Africa",68.8,58.3,91.1,90.4,89.7,82,85.6,65.4,84.9,83.8,82.7,62.2,61.7,0.6,63.2,48.9,34.6,50.9,53.3
"Caribbean",68.7,84.1,86.9,91.8,96.8,68.1,90.3,57.4,83.1,79.5,75.9,38.7,38.1,0.4,73.5,64.2,54.9,31.4,66.2
"South America",67.2,77.5,93.6,93.8,94.1,87.5,86.6,73.8,95.1,87.7,80.3,45.1,50.2,43.7,67.9,79,90,22.7,26.8
"Central America",66,70.7,88.7,91.4,94.1,77.8,70.3,64.6,100,77.1,54.3,47.4,46.6,17.8,67.4,74.9,82.4,24.1,57.4
"Western Asia",64.9,79.6,97,92.2,87.5,96,87.7,61.5,96.8,96.9,96.9,56,53.9,3,57.9,34.8,11.7,42.5,18.8
"South-Eastern Asia",64.4,59.9,83.8,83.8,83.8,89.2,70.3,56.5,86.9,69.2,51.4,55.1,50.5,21.9,64,56,48,81,28.7
"Northern Africa",58,63.5,96.1,91.1,86.1,95,91.9,56.8,99.2,88.2,77.1,36,33.7,5,64.8,51.1,37.3,35.5,23.3
"Middle Africa",57.1,61.8,84.8,87.3,89.9,85.7,84.6,61.5,70.6,58.6,46.7,32,32,NA,61.5,56.2,50.9,0,16.9
"Western Africa",56.6,50.3,79.6,85.9,92.3,54,54.6,52.4,92,91.3,90.7,30,30,0.1,68.2,46.2,24.1,13.9,45.3
