dimension,description
future,"This dimension is calculated as the projected status, informed by the current status, continued trend, inflected upwards by resilience and downwards by pressures."
pressures,"This dimension represents the anthropogenic stressors that negatively affect the ability of a goal to be delivered to people. Pressures can affect either ecological or social (i.e. human) systems."
resilience,"This dimension represents the social, institutional, and ecological factors that positively affect the ability of a goal to be delivered to people."
score,"This dimension is an average of the current status and likely future."
status,"This dimension represents the current value of a goal or sub-goal relative to its reference point."
trend,"This dimension represents the recent change in the value of the status. Unlike all other dimensions which range in value from 0 to 100, the trend ranges from -1 to 1, representing the steepest declines to increases respectively."
