"country","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"eez_weighted_avg",0,71.14,77.34,91.81,91.24,90.64,87.68,79.23,73.61,87.79,82.33,76.87,53.8,53.94,33.68,67.44,62.61,57.78,56.66,45.26
"Jarvis Island",149,91.47,93.49,93.55,96.34,99.14,,,97.85,,,,90.9,90.9,,57.52,78.76,100,,
"Howland Island and Baker Island",158,90.61,86.18,93.23,96.62,100,100,,96.53,,,,85.71,85.71,,57.24,78.62,100,,
"Palmyra Atoll",150,86.35,93.49,93.21,93.34,93.46,77.38,,90.32,,,,84.95,84.95,,57.22,78.61,100,,
"South Georgia and the South Sandwich Islands",89,85.89,90.54,95.21,94.13,93.06,,,98.89,,,,61.68,61.68,,68.44,84.22,100,,
"Seychelles",31,85.39,77.79,90.71,94.15,97.6,86.77,100,78.09,69.01,84.51,100,85.05,85.05,0,64.55,62.12,59.68,,100
"Germany",176,85.11,96.62,94.45,92.62,90.79,93.26,100,51.19,100,91.81,83.61,41.85,40.31,9.89,91.83,95.92,100,95.78,93.56
"Northern Saint-Martin",221,83.89,88.24,97.97,97.31,96.65,95.26,100,53.05,86.24,91.33,96.41,41.51,41.51,,78.2,89.1,100,,99.24
"Macquarie Island",4,82.72,96.58,95.23,97.62,100,,,98.57,,,,33.42,33.42,,74.87,87.44,100,,
"Christmas Island",2,82.67,96.58,97.28,97.01,96.73,93.12,92.76,81.32,100,96.35,92.69,71.01,71.01,,58.7,58.11,57.51,,57.76
"Norfolk Island",3,82.23,96.58,96.68,98.34,100,,,77.75,100,96.35,92.69,37.87,37.87,,88.3,94.15,100,,74.6
"Heard and McDonald Islands",94,82.19,90.54,95.78,97.89,100,,,99.71,,,,50.41,50.41,,44.74,72.37,100,,
"Crozet Islands",91,81.93,89.84,92.8,92.8,,,,96.53,,,,54.53,54.53,,51.87,75.93,100,,
"Finland",174,81.65,95.18,95.38,97.69,100,96.62,,71.44,100,84.61,69.22,88.88,83.63,18.51,96.67,84.7,72.74,95.78,25.18
"Aruba",250,81.61,92.97,97.93,97.94,97.95,99.99,99.95,62.63,100,100,100,38,38,0,86.06,43.03,0,,100
"Australia",16,81.02,97.92,95.18,94.83,94.48,89.4,92.92,83.49,100,95.62,91.23,53.14,43.91,12.46,85.04,92.52,100,62.47,57.08
"Antigua and Barbuda",120,80.83,80.4,97.82,93.8,89.79,82.2,99.94,60.27,88.79,94.39,100,37.47,37.47,,78.62,78.99,79.37,,100
"Cocos Islands",1,80.7,96.58,97.42,97.5,97.59,97.62,92.76,88.56,100,96.35,92.69,60.66,60.66,,75.25,37.63,0,,58.66
"Estonia",70,80.37,91.1,94.5,97.25,100,100,100,66.89,100,75.44,50.88,84.83,84.83,0,96,98,100,51.26,38.89
"Kerguelen Islands",93,80.27,89.74,95.01,97.5,100,,,98.78,,,,39.36,39.36,,51.94,75.97,100,,
"Netherlands",177,80.01,97.99,94.55,87.3,80.05,100,100,46.12,80.56,67.17,53.78,55.15,46.07,31.84,74.26,87.13,100,95.78,72.58
"American Samoa",151,79.78,84.75,88.85,93.34,97.82,95.18,93.6,58.69,71.98,85.59,99.2,80.32,80.32,,65.09,65.74,66.38,,60.86
"Glorioso Islands",30,79.66,53.34,92.21,94.3,96.39,92.79,,87.66,96.71,95.05,93.39,66.19,66.19,,66.84,83.42,100,,64.52
"United Arab Emirates",54,79.63,100,86.74,92.37,98,93.12,91.65,67.14,100,100,100,54.56,54.24,0.77,59.2,66.59,73.98,68.75,62.47
"Curacao",244,79.31,78.43,97.98,97.45,96.93,99.96,92.7,61.65,80.31,73.05,65.78,42.31,42.31,0,77.6,68.26,58.92,,100
"Malta",68,79.14,89.58,90.16,92.88,95.61,88.33,88.5,54.3,100,88.75,77.5,42.31,36.55,32.17,52.1,73.41,94.72,,100
"Phoenix Islands (Kiribati)",157,79.04,59.39,91.37,94.33,97.29,100,,96.67,68.32,74.08,79.84,91.85,91.85,,61.83,80.92,100,,35.08
"Pitcairn",146,78.71,72.45,87.38,93.69,100,100,,86.91,72.9,81.08,89.27,77.76,77.76,,78.17,39.08,0,,
"Prince Edward Islands",90,78.29,82.58,91.22,94.96,98.69,,,88.28,,,,50.42,50.42,,50.45,75.23,100,,
"New Caledonia",5,78.25,64.68,91.26,89.26,87.25,75.71,77.62,89.43,92.28,96.14,100,66.57,61,17.65,68,59.2,50.4,97.25,72.23
"French Polynesia",147,77.81,65.53,93.62,95.6,97.59,99.57,91.62,92.41,46.14,73.07,100,54.77,56.33,66.82,68.3,40.23,12.16,98.64,65.04
"Clipperton Island",107,77.79,87.12,93.3,96.15,99,,,80.96,,,,88.46,88.46,,72.56,36.28,0,,
"Cayman Islands",113,77.78,100,97.85,92.56,87.26,63.66,92.63,64.98,100,100,100,48.97,48.97,,74.71,51.96,29.21,,85.24
"Bahamas",110,77.61,87.83,97.95,92.24,86.52,56.39,99.71,65.28,96.38,83.48,70.58,66.16,66.16,0,74.65,64.57,54.49,60.45,100
"Belgium",59,77.1,95.81,93.96,96.97,99.98,100,100,32.63,100,81.78,63.55,62.18,62.18,,69.89,84.94,100,86.17,30.51
"Italy",184,76.77,92.03,89.96,91.57,93.19,85.65,85.04,52.39,100,86.88,73.75,46.33,40.8,24.63,70.21,85.11,100,93.44,54.79
"Croatia",187,76.59,69.51,88.92,94.46,100,,,64.82,100,79.96,59.92,35.8,34.05,14.24,60.95,79.98,99,98.19,91.79
"Latvia",69,76.39,81.87,93.58,89.37,85.17,96.78,54.42,53.42,100,90.64,81.27,64.18,64.18,,96.36,98.18,100,95.78,39.21
"Canada",218,76.18,97.17,95.46,94.01,92.55,96.04,54.85,95.71,100,90.53,81.06,36.22,43.24,87.7,69.81,47.84,25.88,90.54,51.86
