"targets","ingest","layer","name","description","fld_value","units","filename","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","year_min","year_max","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique","data_na"
"AO",TRUE,"ao_access","Artisanal fisheries opportunity","The opportunity for artisanal and recreational fishing based on the quality of management of the small-scale fishing sector","value","scaled 0-1","ao_access.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"AO",TRUE,"ao_need","Economic need for artisanal fishing","Inverse of per capita purchasing power parity (PPP) adjusted gross domestic product (GDP): GDPpcPPP as a proxy for subsistence fishing need","value","scaled 0-1","ao_need.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"AO pressureCP pressureCS pressureCW pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureMAR pressureNP pressureSPP pressureTR pressure",TRUE,"ss_spi","Weakness of social progress","Inverse of Social Progress Index scores","pressure_score","scaled 0-1","ss_spi.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"AO pressureCP pressureCS pressureCW pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureMAR pressureNP pressureSPP pressureTR pressure",TRUE,"ss_wgi","Weakness of governance","Inverse of World Governance Indicators (WGI) six combined scores","pressure_score","scaled 0-1","ss_wgi.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"AO pressureCP pressureCS pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureNP pressureSPP pressure",TRUE,"hd_intertidal","Intertidal habitat destruction","Coastal population density (25 mi from shore)  as a proxy for intertidal habitat destruction","pressure_score","scaled 0-1","hd_intertidal.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"AO pressureCP pressureCS pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureNP pressureSPP pressure",TRUE,"sp_alien","Nonindigenous species","Measure of harmful invasive species","pressures.score","scaled 0-1","sp_alien.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"AO pressureCP pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureNP pressureSPP pressure",TRUE,"hd_subtidal_hb","Subtidal hardbottom habitat destruction","Presence of blast fishing as an estimate of subtidal hard bottom habitat destruction","score","scaled 0-1","hd_subtidal_hb.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"AO pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureNP pressureSPP pressure",TRUE,"fp_art_hb","High bycatch due to artisanal fishing","Pressure due to artisanal high bycatch fishing identified by discard tonnes and standardized by NPP","pressure_score","scaled 0-1","fp_art_hb.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"AO pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureSPP pressure",TRUE,"fp_com_hb","High bycatch due to commercial fishing","Pressure due to industrial high bycatch fishing identified by discard tonnes and standardized by NPP","pressure_score","scaled 0-1","fp_com_hb.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"AO pressureECO pressureFIS pressureHAB pressureLIV pressureNP pressureSPP pressure",TRUE,"fp_com_lb","Low bycatch due to commercial fishing","Pressure due to industrial low bycatch fishing identified by reported and IUU tonnes and standardized by NPP","pressure_score","scaled 0-1","fp_com_lb.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"AO pressureECO pressureFIS pressureHAB pressureLIV pressureNP pressureSPP pressure",TRUE,"hd_subtidal_sb","Subtidal soft bottom habitat destruction","Pressure on soft-bottom habitats due to demersal destructive commercial fishing practices (e.g., trawling)","pressure_score","scaled 0-1","hd_subtidal_sb.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"AO resilienceCP resilienceCS resilienceCW resilienceECO resilienceFIS resilienceHAB resilienceICO resilienceLIV resilienceLSP resilienceMAR resilienceNP resilienceSPP resilienceTR resilience",TRUE,"res_spi","Social Progress Index","Social Progress Index scores","resilience_score","scaled 0-1","res_spi.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"AO resilienceCP resilienceCS resilienceCW resilienceECO resilienceFIS resilienceHAB resilienceICO resilienceLIV resilienceLSP resilienceMAR resilienceNP resilienceSPP resilienceTR resilience",TRUE,"wgi_all","Strength of governance","World Governance Indicators (WGI) six combined scores","resilience_score","scaled 0-1","wgi_all.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"AO resilienceCP resilienceCS resilienceFIS resilienceHAB resilienceICO resilienceLSP resilienceNP resilienceSPP resilience",TRUE,"hd_habitat","Management of habitat to protect habitat biodiversity","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: habitat related questions","resilience score","scaled 0-1","hd_habitat.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"AO resilienceCP resilienceCS resilienceHAB resilienceNP resilience",TRUE,"hd_mpa_coast","Coastal protected marine areas (habitat preservation)","Protected marine areas within 3nm of coastline (lasting special places goal status score)","resilience.score","scaled 0-1","hd_mpa_coast.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"AO resilienceFIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience",TRUE,"fp_habitat","Management of habitat to protect fisheries biodiversity ","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: habitat related questions","resilience score","scaled 0-1","fp_habitat.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"AO resilienceFIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience",TRUE,"fp_mora","Commercial fishing management","Country scale regulations and management of commerical fishing","value","scaled 0-1","fp_mora.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"AO resilienceHAB resilienceNP resilience",TRUE,"fp_mpa_coast","Coastal protected marine areas (fishing preservation)","Protected marine areas within 3nm of coastline (lasting special places goal status score)","resilience.score","scaled 0-1","fp_mpa_coast.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"AO resilienceHAB resilienceNP resilience",TRUE,"species_diversity_3nm","Measure of coastal ecological integrity","Marine species condition (same calculation and data as the species subgoal status score)  calculated within 3 nm of shoreline as a proxy for ecological integrity","score","scaled 0-1","species_diversity_3nm.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CP",TRUE,"hab_coral_extent","Habitat extent of coral","Area of coral habitat","km2","km2","hab_coral_extent.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CP",TRUE,"hab_seaice_extent","Habitat extent of seaice","Area of seaice (edge and shoreline) habitat","km2","km2","hab_seaice_extent.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CPHAB",TRUE,"hab_coral_health","Habitat condition of coral","Current condition of coral habitat relative to historical condition","health","proportion","hab_coral_health.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CPHAB",TRUE,"hab_coral_trend","Habitat condition trend of coral","Estimated trend in coral condition","trend","trend","hab_coral_trend.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CPHAB",TRUE,"hab_seaice_health","Habitat condition of seaice","Current condition of seaice habitat relative to historical condition","health","proportion","hab_seaice_health.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CPHAB",TRUE,"hab_seaice_trend","Habitat condition trend of seaice","Estimated trend in seaice condition","trend","trend","hab_seaice_trend.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CP pressureCS pressureECO pressureHAB pressureICO pressureNP pressureSPP pressure",TRUE,"cc_acid","Ocean acidification","Pressure due to increasing ocean acidification, scaled using biological thresholds","pressure_score","scaled 0-1","cc_acid.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CP pressureCS pressureECO pressureHAB pressureICO pressureNP pressureSPP pressure",TRUE,"cc_sst","Sea surface temperature","Presure due to increasing extreme sea surface temperature events","pressure_score","scaled 0-1","cc_sst.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CP pressureCS pressureECO pressureHAB pressureLIV pressureLSP pressureMAR pressureNP pressureTR pressure",TRUE,"cc_slr","Sea level rise","Pressure due to rising mean sea level","pressure_score","scaled 0-1","cc_slr.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CP pressureHAB pressureNP pressureSPP pressure",TRUE,"cc_uv","UV radiation","Pressure due to increasing frequency of UV anomolies","pressure_score","scaled 0-1","cc_uv.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CP resilienceCS resilienceCW resilienceHAB resilienceICO resilienceLSP resilienceMAR resilienceNP resilienceSPP resilienceTR resilience",TRUE,"po_water","Management of waters to preserve biodiversity","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: clean water management related questions","resilience score","scaled 0-1","po_water.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CSCP",TRUE,"hab_mangrove_extent","Habitat extent of mangrove","Area of mangrove habitat","km2","km2","hab_mangrove_extent.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CSCP",TRUE,"hab_saltmarsh_extent","Habitat extent of saltmarsh","Area of saltmarsh habitat","km2","km2","hab_saltmarsh_extent.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CSCP",TRUE,"hab_seagrass_extent","Habitat extent of seagrass","Area of seagrass habitat","km2","km2","hab_seagrass_extent.csv",,,,,,,FALSE,,,,,FALSE,,,,,
